County,AEA Code,AEA Name,District Code,District Name,Class of 2022 4 Year Numerator,Class of 2022 4 Year Denominator,Class of 2022 4 Year Graduation Rate,Class of 2021 5 Year Numerator,Class of 2021 5 Year Denominator,Class of 2021 5 Year Graduation Rate,7-12 Dropouts,7-12 Enrollment,7-12 Dropout Rate,9-12 Dropouts,9-12 Enrollment,9-12 Dropout Rate
81,05,Prairie Lakes AEA,6741,East Sac County Comm School District, 	61 , 	62 ,98.39, 	58 , 	60 ,96.67, 	2 , 	386 ,0.52, 	2 , 	251 ,0.80
58,15,Great Prairie AEA,6759,Wapello Comm School District, 	37 , 	39 ,94.87, 	53 , 	54 ,98.15, 	3 , 	271 ,1.11, 	3 , 	179 ,1.68
09,07,Central Rivers AEA,6762,Wapsie Valley Comm School District, 	46 , 	48 ,95.83, 	39 , 	39 ,100.00, 	2 , 	336 ,0.60, 	2 , 	203 ,0.99
92,10,Grant Wood AEA,6768,Washington Comm School District, 	102 , 	114 ,89.47, 	116 , 	128 ,90.63, 	29 , 	707 ,4.10, 	27 , 	481 ,5.61
07,07,Central Rivers AEA,6795,Waterloo Comm School District, 	570 , 	734 ,77.66, 	620 , 	729 ,85.05, 	230 ," 	4,808 ",4.78, 	230 ," 	3,210 ",7.17
25,11,Heartland AEA,6822,Waukee Comm School District, 	746 , 	765 ,97.52, 	715 , 	724 ,98.76, 	25 ," 	5,276 ",0.47, 	18 ," 	3,407 ",0.53
09,07,Central Rivers AEA,6840,Waverly-Shell Rock Comm School District, 	156 , 	165 ,94.55, 	185 , 	188 ,98.40, 	12 ," 	1,141 ",1.05, 	12 , 	758 ,1.58
93,15,Great Prairie AEA,6854,Wayne Comm School District, 	38 , 	42 ,90.48, 	35 , 	37 ,94.59, 	4 , 	265 ,1.51, 	4 , 	160 ,2.50
40,05,Prairie Lakes AEA,6867,Webster City Comm School District, 	128 , 	140 ,91.43, 	125 , 	136 ,91.91, 	37 , 	861 ,4.30, 	36 , 	588 ,6.12
74,05,Prairie Lakes AEA,6921,West Bend-Mallard Comm School District, 	18 , 	20 ,90.00, 	30 , 	31 ,96.77, 	5 , 	175 ,2.86, 	5 , 	114 ,4.39
16,10,Grant Wood AEA,6930,West Branch Comm School District, 	51 , 	56 ,91.07, 	62 , 	67 ,92.54, 	8 , 	373 ,2.14, 	8 , 	237 ,3.38
29,15,Great Prairie AEA,6937,West Burlington Ind School District, 	54 , 	64 ,84.38, 	52 , 	57 ,91.23, 	11 , 	445 ,2.47, 	11 , 	292 ,3.77
33,01,Keystone AEA,6943,West Central Comm School District, 	19 , 	20 ,95.00, 	22 , 	22 ,100.00, 	2 , 	138 ,1.45, 	2 , 	88 ,2.27
28,01,Keystone AEA,6950,West Delaware County Comm School District, 	109 , 	112 ,97.32, 	124 , 	130 ,95.38, 	7 , 	720 ,0.97, 	6 , 	487 ,1.23
77,11,Heartland AEA,6957,West Des Moines Comm School District, 	619 , 	664 ,93.22, 	689 , 	723 ,95.30, 	80 ," 	4,330 ",1.85, 	69 ," 	2,940 ",2.35
31,01,Keystone AEA,6961,Western Dubuque Comm School District, 	259 , 	260 ,99.62, 	266 , 	267 ,99.63, 	12 ," 	1,659 ",0.72, 	12 ," 	1,167 ",1.03
43,13,Green Hills AEA,6969,West Harrison Comm School District, 	22 , 	23 ,95.65, 	29 , 	31 ,93.55, 	1 , 	130 ,0.77, 	1 , 	84 ,1.19
70,09,Mississippi Bend AEA,6975,West Liberty Comm School District, 	98 , 	109 ,89.91, 	71 , 	79 ,89.87, 	11 , 	582 ,1.89, 	11 , 	374 ,2.94
60,12,Northwest AEA,6983,West Lyon Comm School District, 	68 , 	71 ,95.77, 	63 , 	65 ,96.92, 	2 , 	439 ,0.46, 	2 , 	307 ,0.65
64,07,Central Rivers AEA,6985,West Marshall Comm School District, 	70 , 	71 ,98.59, 	75 , 	77 ,97.40, 	1 , 	467 ,0.21, 	1 , 	320 ,0.31
67,12,Northwest AEA,6987,West Monona Comm School District, 	44 , 	46 ,95.65, 	43 , 	49 ,87.76, 	5 , 	282 ,1.77, 	4 , 	204 ,1.96
84,12,Northwest AEA,6990,West Sioux Comm School District, 	53 , 	60 ,88.33, 	60 , 	64 ,93.75, 	8 , 	379 ,2.11, 	8 , 	265 ,3.02
97,12,Northwest AEA,6992,Westwood Comm School District, 	42 , 	43 ,97.67, 	40 , 	40 ,100.00, 	-   , 	279 ,0.00, 	-   , 	191 ,0.00
67,12,Northwest AEA,7002,Whiting Comm School District, 	13 , 	14 ,92.86, 	14 , 	14 ,100.00, 	2 , 	89 ,2.25, 	2 , 	64 ,3.13
48,10,Grant Wood AEA,7029,Williamsburg Comm School District, 	79 , 	82 ,96.34, 	88 , 	91 ,96.70, 	9 , 	585 ,1.54, 	8 , 	395 ,2.03
70,09,Mississippi Bend AEA,7038,Wilton Comm School District, 	51 , 	53 ,96.23, 	58 , 	63 ,92.06, 	3 , 	407 ,0.74, 	3 , 	260 ,1.15
44,15,Great Prairie AEA,7047,Winfield-Mt Union Comm School District, 	32 , 	36 ,88.89, 	36 , 	37 ,97.30, 	3 , 	202 ,1.49, 	3 , 	132 ,2.27
61,11,Heartland AEA,7056,Winterset Comm School District, 	146 , 	150 ,97.33, 	99 , 	99 ,100.00, 	7 , 	851 ,0.82, 	7 , 	573 ,1.22
43,13,Green Hills AEA,7092,Woodbine Comm School District, 	36 , 	39 ,92.31, 	34 , 	36 ,94.44, 	3 , 	220 ,1.36, 	3 , 	138 ,2.17
97,12,Northwest AEA,7098,Woodbury Central Comm School District, 	43 , 	43 ,100.00, 	54 , 	55 ,98.18, 	1 , 	267 ,0.37, 	1 , 	184 ,0.54
25,11,Heartland AEA,7110,Woodward-Granger Comm School District, 	56 , 	58 ,96.55, 	62 , 	64 ,96.88, 	2 , 	385 ,0.52, 	2 , 	239 ,0.84
