accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Niptomomys thelmae,Niptomomys thelmae,species,NA,species,NA,NA,Microsyopidae,Niptomomys,NA,NA,G. F. Gunnell and P. D. Gingerich. 1981. A New Species of Niptomomys (Microsyopidae) from the Early Eocene of Wyoming. Folia Primatologica 36,Niptomomys thelmae,NA,species,extinct,Microsyopidae,Niptomomys,G. F. Gunnell and P. D. Gingerich. 1981. A New Species of Niptomomys (Microsyopidae) from the Early Eocene of Wyoming. Folia Primatologica 36
Nomascus gabriellae,Hylobates concolor gabriellae,species,recombined as,species,NA,NA,Hylobatidae,Nomascus,NA,NA,"C. B. Kloss. 1929. Some Remarks on the Gibbons, with the Description of a New Sub-species. Proceedings of the Zoological Society of London 99(1):113-127",Nomascus gabriellae,NA,species,extant,Hylobatidae,Nomascus,"V. N. Thinh, A. R. Mootnick, and T. Geissmann, M. Li, T. Ziegler, M. Agil, P. Moisson, T. Nadler, L. Walter, C. Roos. 2010. Mitochondrial evidence for multiple radiations in the evolutionary history of small apes. BMC Evolutionary Biology 10(74):1-13"
Nomascus hainanus,Hylobates (Nomascus) concolor hainanus,species,recombined as,species,NA,NA,Hylobatidae,Nomascus,NA,NA,"C. P. Groves and Y. Wang. 1990. The gibbons of the subgenus Nomascus (Primates, Mammalia). Zoological Research 11(2):147-154",Nomascus hainanus,NA,species,extant,Hylobatidae,Nomascus,"V. N. Thinh, A. R. Mootnick, and T. Geissmann, M. Li, T. Ziegler, M. Agil, P. Moisson, T. Nadler, L. Walter, C. Roos. 2010. Mitochondrial evidence for multiple radiations in the evolutionary history of small apes. BMC Evolutionary Biology 10(74):1-13"
Nomascus leucogenys,Hylobates (Nomascus) leucogenys,species,recombined as,species,NA,NA,Hylobatidae,Nomascus,NA,NA,"C. P. Groves and Y. Wang. 1990. The gibbons of the subgenus Nomascus (Primates, Mammalia). Zoological Research 11(2):147-154",Nomascus leucogenys,NA,species,extant,Hylobatidae,Nomascus,"V. N. Thinh, A. R. Mootnick, and T. Geissmann, M. Li, T. Ziegler, M. Agil, P. Moisson, T. Nadler, L. Walter, C. Roos. 2010. Mitochondrial evidence for multiple radiations in the evolutionary history of small apes. BMC Evolutionary Biology 10(74):1-13"
Nomascus nasutus,Hylobates (Nomascus) concolor nasutus,species,recombined as,species,NA,NA,Hylobatidae,Nomascus,NA,NA,"C. P. Groves and Y. Wang. 1990. The gibbons of the subgenus Nomascus (Primates, Mammalia). Zoological Research 11(2):147-154",Nomascus nasutus,NA,species,extant,Hylobatidae,Nomascus,"V. N. Thinh, A. R. Mootnick, and T. Geissmann, M. Li, T. Ziegler, M. Agil, P. Moisson, T. Nadler, L. Walter, C. Roos. 2010. Mitochondrial evidence for multiple radiations in the evolutionary history of small apes. BMC Evolutionary Biology 10(74):1-13"
Nomascus siki,Hylobates (Nomascus) gabriellae siki,species,recombined as,species,NA,NA,Hylobatidae,Nomascus,NA,NA,"C. P. Groves and Y. Wang. 1990. The gibbons of the subgenus Nomascus (Primates, Mammalia). Zoological Research 11(2):147-154",Nomascus siki,NA,species,extant,Hylobatidae,Nomascus,"V. N. Thinh, A. R. Mootnick, and T. Geissmann, M. Li, T. Ziegler, M. Agil, P. Moisson, T. Nadler, L. Walter, C. Roos. 2010. Mitochondrial evidence for multiple radiations in the evolutionary history of small apes. BMC Evolutionary Biology 10(74):1-13"
Notharctus robinsoni,Notharctus robinsoni,species,NA,species,NA,NA,Notharctidae,Notharctus,NA,NA,"G. F. Gunnell. 1998. Mammalian Fauna From the Lower Bridger Formation (Bridger A, Early Middle Eocene) of the Southern Green River Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 30(3):83-130",Notharctus robinsoni,NA,species,extinct,Notharctidae,Notharctus,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Notharctus tenebrosus,Notharctus tenebrosus,species,NA,species,NA,NA,Notharctidae,Notharctus,NA,NA,"G. F. Gunnell. 1995. New notharctine (primates, adapiformes) skull from the Uintan (middle Eocene) of San Diego County, California. American Journal of Physical Anthropology 98:447-470",Notharctus osborni,subjective synonym of,species,extinct,Notharctidae,Notharctus,W. Granger and W. K. Gregory. 1917. A revision of the Eocene primates of the genus Notharctus. Bulletin of the American Museum of Natural History 37(34)
Notharctus venticolus,Notharctus venticolus,species,NA,species,NA,NA,Notharctidae,Notharctus,NA,NA,G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380,Notharctus venticolus,NA,species,extinct,Notharctidae,Notharctus,"H. F. Osborn. 1902. American Eocene primates, and the supposed rodent family Mixodectidae. Bulletin of the American Museum of Natural History 16(17):169-214"
Nycticebus coucang,Nycticebus coucang,species,NA,species,NA,NA,Lorisidae,Nycticebus,NA,NA,J. Alroy and S. Pineda Muñoz. 2012. Skeletal measurements of Recent mammals in the Australian Museum.,Nycticebus coucang,NA,species,extant,Lorisidae,Nycticebus,"W. Stone and J. A. G. Rehn. 1902. A collection of mammals from Sumatra, with a review of the genera Nycticebus and Tragulus. Proceedings of the Academy of Natural Sciences of Philadelphia 54(1):127-142"
Nycticebus pygmaeus,Nycticebus pygmaeus,species,NA,species,NA,NA,Lorisidae,Nycticebus,NA,NA,V. T. Dào. 1967. Notes sur une collection de mammiferes de la region de Yen-Bai (Nord-Vietnam). Mitteilungen aus dem Museum für Naturkunde in Berlin 43(1):117-125,Nycticebus pygmaeus,NA,species,extant,Lorisidae,Nycticebus,V. T. Dào. 1967. Notes sur une collection de mammiferes de la region de Yen-Bai (Nord-Vietnam). Mitteilungen aus dem Museum für Naturkunde in Berlin 43(1):117-125
Omomys carteri,Omomys carteri,species,NA,species,NA,NA,Omomyidae,Omomys,NA,NA,"R. M. West. 1982. Fossil Mammals from the Lower Buck Hill Group, Eocene of Trans-Pecos Texas: Marsupicarnivora, Primates, Taeniodonta, Condylarthra, Bunodont Artiodactyla, and Dinocerata. Pearce-Sellards Series 35:1-20",Omomys carteri,NA,species,extinct,Omomyidae,Omomys,J. Leidy. 1869. Notice of some extinct vertebrates from Wyoming and Dakota. Proceedings of the Academy of Natural Sciences of Philadelphia 21:63-67
Omomys lloydi,Omomys lloydi,species,NA,species,NA,NA,Omomyidae,Omomys,NA,NA,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112,Omomys lloydi,NA,species,extinct,Omomyidae,Omomys,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
Ourayia hopsoni,Mytonius hopsoni,species,recombined as,species,NA,NA,Omomyidae,Ourayia,NA,NA,"P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326",Ourayia hopsoni,NA,species,extinct,Omomyidae,Ourayia,"P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326"
Ourayia uintensis,Ourayia uintensis,species,NA,species,NA,NA,Omomyidae,Ourayia,NA,NA,E. L. Simons. 1961. The dentition of Ourayia: its bearing on relationships of omomyid prosimian. Postilla 54:1-20,Ourayia uintensis,NA,species,extinct,Omomyidae,Ourayia,H. F. Osborn. 1895. Fossil mammals of the Uinta Basin. Expedition of 1894. Bulletin of the American Museum of Natural History 7(2):71-105
Palaechthon alticuspis,Palaechthon alticuspis,species,NA,species,NA,NA,NO_FAMILY_SPECIFIED,Palaechthon,NA,NA,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157",Palaechthon alticuspis,NA,species,extinct,NO_FAMILY_SPECIFIED,Palaechthon,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.
Palaechthon woodi,Palaechthon woodi,species,NA,species,NA,NA,NO_FAMILY_SPECIFIED,Palaechthon,NA,NA,"C. B. Wood, G. C. Conroy, and S. G. Lucas. 1979. New Discoveries of Fossil Primates from the Type Torrejonian (Middle Paleocene) of New Mexico. Folia Primatologica 32",Palaechthon woodi,NA,species,extinct,NO_FAMILY_SPECIFIED,Palaechthon,"C. L. Gazin. 1971. Paleocene primates from the Shotgun Member of the Fort Union Formation in the Wind River Basin, Wyoming. Proceedings of the Biological Society of Washington 84(3):13-38"
