accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no,accepted_rank,parent_no,ref_pubyr,reference_no,is_extant,n_occs,family,genus,primary_reference
Phaner parienti,390377,390378,Phaner parienti,,390377,species,232478,1991,69591,extant,0,Cheirogaleidae,Phaner,"C.P. Groves and I. Tattersall. 1991. Geographical Variation in the Fork-Marked Lemur, Phaner furcifer (Primates, Cheirogaleidae)\r\n. Folia Primatologica (56):39-49"
Phaner electromontis,390373,390374,Phaner electromontis,,390373,species,232478,1991,69591,extant,0,Cheirogaleidae,Phaner,"C.P. Groves and I. Tattersall. 1991. Geographical Variation in the Fork-Marked Lemur, Phaner furcifer (Primates, Cheirogaleidae)\r\n. Folia Primatologica (56):39-49"
Phaner pallescens,385788,385788,Phaner pallescens,,385788,species,232478,2005,30426,extant,0,Cheirogaleidae,Phaner,D. E. Wilson and D. M. Reeder. 2005. Mammal species of the world : a taxonomic and geographic reference
Archaeolemur edwardsi,384429,384429,Archaeolemur edwardsi,,384429,species,40787,2010,68438,extinct,3,Archaeolemuridae,Archaeolemur,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Archaeolemur majori,384430,384430,Archaeolemur majori,,384430,species,40787,2010,68438,extinct,3,Archaeolemuridae,Archaeolemur,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Hadropithecus stenognathus,385134,385135,Hadropithecus stenognathus,,385134,species,40788,2010,68438,extinct,2,Archaeolemuridae,Hadropithecus,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Lepilemur wrighti,385683,385683,Lepilemur wrighti,,385683,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur mustelinus,385148,385148,Lepilemur mustelinus,,385148,species,143025,1851,68702,extant,0,Lepilemuridae,Lepilemur,"I. Geoffroy Saint-Hillaire. 1851. Catalogue méthodique de la collection des mammifères, de la collection des oiseaux et des collections annexes."
Lepilemur manasamody,385875,385875,Lepilemur manasamody,,385875,species,143025,2007,68840,extant,0,Lepilemuridae,Lepilemur,"M. Craul, E. Zimmermann, and S. Rasoloharijaona, B. Randrianambinina , U. Radespiel. 2007. Unexpected species diversity of Malagasy primates (Lepilemur spp.) in the same biogeographical zone: a morphological and molecular approach with the description of two new species. BMC Evolutionary Biology 7:83"
Lepilemur milanoii,385687,385687,Lepilemur milanoii,,385687,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur jamesorum,385688,386067,Lepilemur jamesorum,,385688,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur sahamalazensis,385843,385843,Lepilemur sahamalazensis,,385843,species,143025,2006,68832,extant,0,Lepilemuridae,Lepilemur,"N. Andriaholinirina, J.L. Fausser, and C. Roos, D. Zinner, U. Thalmann, C. Rabarivola, I.  Ravoarimanana, JU Ganzhorn, B. Meier, R. Hilgartner, L. Walter. 2006. Molecular phylogeny and taxonomic revision of the sportive lemurs (Lepilemur, Primates). BMC Evolutionary Biology 6(1):17"
Lepilemur hollandorum,390510,390510,Lepilemur hollandorum,,390510,species,143025,2009,69624,extant,0,Lepilemuridae,Lepilemur,"B. Ramaromilanto, R. Lei, and S. E. Engberg, S. E. Johnson, B. D. Sitzmann, E. E. Louis. 2009. Description of a new sportive lemur, Holland's or Mananara-Nord sportive lemur, from Mananara-Nord Biosphere Reserve, Madagascar . Occasional Papers 286:1-22"
Lepilemur otto,385874,385874,Lepilemur otto,,385874,species,143025,2007,68840,extant,0,Lepilemuridae,Lepilemur,"M. Craul, E. Zimmermann, and S. Rasoloharijaona, B. Randrianambinina , U. Radespiel. 2007. Unexpected species diversity of Malagasy primates (Lepilemur spp.) in the same biogeographical zone: a morphological and molecular approach with the description of two new species. BMC Evolutionary Biology 7:83"
Lepilemur fleuretae,385693,385693,Lepilemur fleuretae,,385693,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur microdon,385937,385937,Lepilemur microdon,,385937,species,143025,2018,68855,extant,0,Lepilemuridae,Lepilemur,"C. J. Burgin, J. P. Colella, and P. L. Kahn, N. S. Upham. 2018. How many species of mammals are there?. Journal of Mammalogy 99(1):1-14"
Lepilemur edwardsi,385138,385139,Lepilemur edwardsi,,385138,species,143025,2005,30426,extant,0,Lepilemuridae,Lepilemur,D. E. Wilson and D. M. Reeder. 2005. Mammal species of the world : a taxonomic and geographic reference
Lepilemur leucopus,385140,385141,Lepilemur leucopus,,385140,species,143025,1894,68698,extant,0,Lepilemuridae,Lepilemur,"C.I. Forsyth Major. 1894. Diagnosis of a new species of the genus Lepidolemur. The Annals and magazine of natural history; zoology, botany, and geology 13:211"
Lepilemur betsileo,385692,385692,Lepilemur betsileo,,385692,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur seali,385685,385685,Lepilemur seali,,385685,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur grewcockorum,385694,385932,Lepilemur grewcockorum,,385694,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur scottorum,390258,390258,Lepilemur scottorum,,390258,species,143025,2008,69562,extant,0,Lepilemuridae,Lepilemur,"R. Lei, S.E. Engberg, and R. Andriantompohavana, SM McGuire, RA Mittermeier, JR Zaonarivelo, RA Brenneman, EE Louis Jr. 2008. Nocturnal lemur diversity at Masoala national park. Special Publications Museum of Texas Tech University 53"
Lepilemur ruficaudatus,385142,385142,Lepilemur ruficaudatus,,385142,species,143025,1867,68666,extant,0,Lepilemuridae,Lepilemur,A. Grandidier. 1867. Revue et magasin de zoologie pure et appliquée  19
Lepilemur randrianasoloi,385934,386065,Lepilemur randrianasoloi,,385934,species,143025,2006,68832,extant,2,Lepilemuridae,Lepilemur,"N. Andriaholinirina, J.L. Fausser, and C. Roos, D. Zinner, U. Thalmann, C. Rabarivola, I.  Ravoarimanana, JU Ganzhorn, B. Meier, R. Hilgartner, L. Walter. 2006. Molecular phylogeny and taxonomic revision of the sportive lemurs (Lepilemur, Primates). BMC Evolutionary Biology 6(1):17"
Lepilemur aeeclis,385842,385842,Lepilemur aeeclis,,385842,species,143025,2006,68832,extant,0,Lepilemuridae,Lepilemur,"N. Andriaholinirina, J.L. Fausser, and C. Roos, D. Zinner, U. Thalmann, C. Rabarivola, I.  Ravoarimanana, JU Ganzhorn, B. Meier, R. Hilgartner, L. Walter. 2006. Molecular phylogeny and taxonomic revision of the sportive lemurs (Lepilemur, Primates). BMC Evolutionary Biology 6(1):17"
Lepilemur septentrionalis,385844,385844,Lepilemur septentrionalis,,385844,species,143025,1975,68833,extant,0,Lepilemuridae,Lepilemur,"Y. Rumpler and R. Albignac. 1975. Intraspecific chromosome variability in a lemur from the north of Madagascar: Lepilemur septentrionalis, species nova. American Journal of Physical Anthropology 42(3):425-429"
Lepilemur mittermeieri,385935,385935,Lepilemur mittermeieri,,385935,species,143025,2006,68856,extant,0,Lepilemuridae,Lepilemur,"C. Rabarivola, A. Zaramody, and J. L. Fausser, N. Andriaholinirina, C. Roos, D. Zinner, M. Hauwy, Y. Rumpler. 2006. Cytogenetic and molecular characteristics of a new species of sportive lemur from Northern Madagascar. Lemur News 11:45-49"
Lepilemur ankaranensis,385939,385940,Lepilemur ankaranensis,,385939,species,143025,1975,68833,extant,0,Lepilemuridae,Lepilemur,"Y. Rumpler and R. Albignac. 1975. Intraspecific chromosome variability in a lemur from the north of Madagascar: Lepilemur septentrionalis, species nova. American Journal of Physical Anthropology 42(3):425-429"
Lepilemur petteri,385686,385686,Lepilemur petteri,,385686,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur dorsalis,385136,385136,Lepilemur dorsalis,,385136,species,143025,1871,68662,extant,0,Lepilemuridae,Lepilemur,"J.E. Gray. 1871. Catalogue of monkeys, lemurs, and fruit-eating bats in the collection of the British museum."
Lepilemur ahmansoni,385691,385691,Lepilemur ahmansoni,,385691,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur tymerlachsoni,385684,385684,Lepilemur tymerlachsoni,,385684,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Lepilemur hubbardorum,385695,385933,Lepilemur hubbardorum,,385695,species,143025,2006,68800,extant,0,Lepilemuridae,Lepilemur,"E.E. Louis, S.E. Engberg, and R. Lei, H. Geng,  JA Sommer, R. Ramaromilanto, JC Randriamanana, JR Zaonarivelo, R. Andriantompohavana, G. Randria, Prosper, B. Ramaromilanto, G. Rakotoarisoa, A. Rooney, RA Brenneman. 2006. Molecular and morphological analyses of the sportive lemurs (Family Megaladapidae: Genus Lepilemur) reveals 11 previously unrecognized species. Texas Tech University Special Publications (49):1-49"
Megaladapis grandidieri,384427,384427,Megaladapis grandidieri,,384427,species,40775,2010,68438,extinct,0,Megaladapidae,Megaladapis,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Megaladapis edwardsi,384278,384278,Megaladapis edwardsi,,384278,species,40775,2010,68438,extinct,3,Megaladapidae,Megaladapis,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Megaladapis madagascariensis,384464,384464,Megaladapis madagascariensis,,384464,species,40775,2010,68438,extinct,1,Megaladapidae,Megaladapis,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Palaeopropithecus maximus,384309,384309,Palaeopropithecus maximus,,384309,species,40791,2010,68438,extinct,0,Palaeopropithecidae,Palaeopropithecus,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Palaeopropithecus ingens,384308,384308,Palaeopropithecus ingens,,384308,species,40791,2010,68438,extinct,0,Palaeopropithecidae,Palaeopropithecus,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Babakotia radofilai,384974,384974,Babakotia radofilai,,384974,species,143027,2010,68438,extinct,2,Palaeopropithecidae,Babakotia,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Mesopropithecus dolichobrachion,385157,385157,Mesopropithecus dolichobrachion,,385157,species,40784,1995,68707,extinct,1,Palaeopropithecidae,Mesopropithecus,"E. L. Simons, L. R. Godfrey, and W. L. Jungers, P. S. Chatrath, J. Ravaoarisoa. 1995. A new species of Mesopropithecus (Primates, Palaeopropithecidae) from northern Madagascar. International Journal of primatology 16(4):653-682"
Mesopropithecus pithecoides,385223,385223,Mesopropithecus pithecoides,,385223,species,40784,2010,68438,extinct,0,Palaeopropithecidae,Mesopropithecus,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Archaeoindris fontoynontii,384428,384428,Archaeoindris fontoynontii,,384428,species,40790,2010,68438,extinct,0,Palaeopropithecidae,Archaeoindris,"L. R. Godfrey, W. L. Jungers, and D. A. Burney. 2010. Subfossil Lemurs of Madagascar.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Avahi mooreorum,390256,390256,Avahi mooreorum,,390256,species,143021,2008,69562,extant,0,Indriidae,Avahi,"R. Lei, S.E. Engberg, and R. Andriantompohavana, SM McGuire, RA Mittermeier, JR Zaonarivelo, RA Brenneman, EE Louis Jr. 2008. Nocturnal lemur diversity at Masoala national park. Special Publications Museum of Texas Tech University 53"
Avahi occidentalis,385081,385083,Avahi occidentalis,,385081,species,143021,1898,68668,extant,0,Indriidae,Avahi,L. von Lorenz-Liburnau. 1898. Säugetiere von Madagaskar und Sansibar. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 21:443-467
Avahi betsilio,385665,385665,Avahi betsilio,,385665,species,143021,2007,68797,extant,0,Indriidae,Avahi,"R. Andriantompohavana, R. M. Lei, and J. R. Zaonarivelo, S. E. Engberg, G. Nalanirina, S. M. McGuire, G. D. Shore, J. Andrianasolo, K. Herrington. 2007. Molecular Phylogeny and Taxonomic Revision of the Woolly Lemurs, Genus Avahi (Primates: Lemuriformes). Special Publications Museum of Texas Tech University 51:1-59"
Avahi laniger,232513,232515,Avahi laniger,,232513,species,143021,1931,41238,extant,1,Indriidae,Avahi,E. Schwarz. 1931. A revision of the genera and species of Madagascar Lemuridae. Proceedings of the Zoological Society of London 101(2):399-428
Avahi cleesei,385633,385633,Avahi cleesei,,385633,species,143021,2005,68788,extant,2,Indriidae,Avahi,U. Thalmann and T. Geissmann. 2005. New species of woolly lemur Avahi (Primates: Lemuriformes) in Bemaraha (central western Madagascar). American Journal of Primatology 67(3):371-376
Avahi unicolor,385666,385666,Avahi unicolor,,385666,species,143021,2000,68798,extant,0,Indriidae,Avahi,U. Thalmann and T. Geissmann. 2000. Distribution and geographic variation in the western woolly lemur (Avahi occidentalis) with description of a new species (A. unicolor). International Journal of Primatology 21(6):915-941
Avahi meridionalis,385634,385634,Avahi meridionalis,,385634,species,143021,2006,68789,extant,0,Indriidae,Avahi,"A. Zaramody, J. L. Fausser, and C. Roos, D. Zinner, N. Andriaholinirina, C. Rabarivola, I. Norscia, I. Tattersall, Y. Rumpler. 2006. Molecular phylogeny and taxonomic revision of the eastern woolly lemurs (Avahi laniger). Primate Report 74:9-23"
Avahi ramanantsoavani,385636,385637,Avahi ramanantsoavani,,385636,species,143021,2006,68789,extant,0,Indriidae,Avahi,"A. Zaramody, J. L. Fausser, and C. Roos, D. Zinner, N. Andriaholinirina, C. Rabarivola, I. Norscia, I. Tattersall, Y. Rumpler. 2006. Molecular phylogeny and taxonomic revision of the eastern woolly lemurs (Avahi laniger). Primate Report 74:9-23"
Semnocebus albigena,390505,390505,Semnocebus albigena,,390505,species,143021,1900,69622,extant,0,Indriidae,Avahi,"R. Lydekker. 1900. Note on two Mangabey-like monkeys (Cercocebus hagenbecki and Semnocebus albigena rothschildi), now living in the menagerie of the zoological society. Noviates zoologicae 3(4):593-593"
Avahi peyrierasi,385635,385635,Avahi peyrierasi,,385635,species,143021,2006,68789,extant,0,Indriidae,Avahi,"A. Zaramody, J. L. Fausser, and C. Roos, D. Zinner, N. Andriaholinirina, C. Rabarivola, I. Norscia, I. Tattersall, Y. Rumpler. 2006. Molecular phylogeny and taxonomic revision of the eastern woolly lemurs (Avahi laniger). Primate Report 74:9-23"
Indri indri,232454,232456,Indri indri,,232454,species,143020,2002,41236,extant,0,Indriidae,Indri,A. Quinn and D. E. Wilson. 2002. Indri indri. Mammalian Species 694:1-5
Indri indri,232464,232464,Indris variegatus,subjective synonym of,232454,species,143020,2002,41236,extant,0,Indriidae,Indri,A. Quinn and D. E. Wilson. 2002. Indri indri. Mammalian Species 694:1-5
Indri indri,232459,232459,Indri brevicaudatus,subjective synonym of,232454,species,143020,2002,41236,extant,0,Indriidae,Indri,A. Quinn and D. E. Wilson. 2002. Indri indri. Mammalian Species 694:1-5
Indri indri,232460,232460,Indri niger,subjective synonym of,232454,species,143020,2002,41236,extant,0,Indriidae,Indri,A. Quinn and D. E. Wilson. 2002. Indri indri. Mammalian Species 694:1-5
Indri indri,232463,232463,Lichanotus mitratus,subjective synonym of,232454,species,143020,2002,41236,extant,0,Indriidae,Indri,A. Quinn and D. E. Wilson. 2002. Indri indri. Mammalian Species 694:1-5
Propithecus deckenii,385322,385322,Propithecus deckenii,,385322,species,143019,2005,30426,extant,2,Indriidae,Propithecus,D. E. Wilson and D. M. Reeder. 2005. Mammal species of the world : a taxonomic and geographic reference
Propithecus edwardsi,385220,385220,Propithecus edwardsi,,385220,species,143019,1871,68717,extant,0,Indriidae,Propithecus,M.A. Grandidier. 1871. Observations sur les Propithèques de Madagascar. Comptes rendus hebdomadaires des séances de l'Académie des sciences\r\n 72:231-232
Propithecus coquereli,385155,385155,Propithecus coquereli,,385155,species,143019,1867,68666,extant,0,Indriidae,Propithecus,A. Grandidier. 1867. Revue et magasin de zoologie pure et appliquée  19
Propithecus tattersalli,385076,385076,Propithecus tattersalli,,385076,species,143019,1988,68664,extant,0,Indriidae,Propithecus,E.L. Simons. 1988. A New Species of Propithecus (Primates) from Northeast Madagascar. Folia Primatologica 50:143-151
Propithecus perrieri,385222,385222,Propithecus perrieri,,385222,species,143019,1931,68718,extant,0,Indriidae,Propithecus,M.L. Lavauden. 1931. Un nouveau Propithèque de Madagascar (Propitehcus Perrieri sp. nov.). Comptes rendus hebdomadaires des séances de l'Académie des sciences
Propithecus verreauxi,385079,385079,Propithecus verreauxi,,385079,species,143019,1867,68666,extant,2,Indriidae,Propithecus,A. Grandidier. 1867. Revue et magasin de zoologie pure et appliquée  19
Propithecus coronatus,385323,385324,Propithecus coronatus,,385323,species,143019,2016,68757,extant,0,Indriidae,Propithecus,J.P. Herrara and L.M. Dávalos. 2016. Phylogeny and Divergence Times of Lemurs Inferred with Recent and Ancient Fossils in the Tree. Systematic Biology 65(5):772-791
Propithecus diadema,385156,385156,Propithecus diadema,,385156,species,143019,1867,68666,extant,0,Indriidae,Propithecus,A. Grandidier. 1867. Revue et magasin de zoologie pure et appliquée  19
Propithecus candidus,385221,385221,Propithecus candidus,,385221,species,143019,1871,68717,extant,0,Indriidae,Propithecus,M.A. Grandidier. 1871. Observations sur les Propithèques de Madagascar. Comptes rendus hebdomadaires des séances de l'Académie des sciences\r\n 72:231-232
Dryomomys dulcifer,232226,232226,Dryomomys dulcifer,,232226,species,92581,2012,41198,extinct,1,Micromomyidae,Dryomomys,"S. G. B. Chester and K. C. Beard. 2012. New micromomyid plesiadapiforms (Mammalia, Euarchonta) from the late Paleocene of Big Multi Quarry, Washakie Basin, Wyoming. Annals of Carnegie Museum 80(2):159-172"
Dryomomys willwoodensis,48520,358847,Dryomomys willwoodensis,,48520,species,92581,1982,2963,extinct,3,Micromomyidae,Dryomomys,K. D. Rose and T. M. Bown. 1982. New Plesiadapiform Primates from the Eocene of Wyoming and Montana. Journal of Vertebrate Paleontology 2(1):63-69
Dryomomys millennius,358848,358850,Dryomomys millennius,,358848,species,92581,2008,63104,extinct,2,Micromomyidae,Dryomomys,"R. Secord. 2008. The Tiffanian Land-Mammal Age (middle and late Paleocene) in the northern Bighorn Basin, Wyoming. University of Michigan Papers on Paleontology 35:1-192"
Dryomomys szalayi,92582,92582,Dryomomys szalayi,,92582,species,92581,2007,19720,extinct,1,Micromomyidae,Dryomomys,"J. I. Bloch, M. T. Silcox, and D. M. Boyer, E. J. Sargis. 2007. New Paleocene skeletons and the relationship of plesiadapiformes to crown-clade primates. Proceedings of the National Academy of Sciences, USA 104(4):1159-1164"
Tinimomys graybulliensis,52321,52321,Tinimomys graybulliensis,,52321,species,40708,1974,63098,extinct,18,Micromomyidae,Tinimomys,F. S. Szalay. 1974. A new species and genus of early Eocene primate from North America. Folia Primatologica 22:243-250
Tinimomys graybulliensis,48925,48925,Myrmekomomys loomisi,subjective synonym of,52321,species,40708,1994,2926,extinct,18,Micromomyidae,Tinimomys,"P. Robinson. 1994. Myrmekomomys, a new genus of Micromomyine (Mammalia, ?Microsyopidae) from the lower Eocene rocks of the Powder River Basin, Wyoming. Contributions to Geology, University of Wyoming 30(1):85-90"
Tinimomys tribos,232227,232227,Tinimomys tribos,,232227,species,40708,2012,41198,extinct,1,Micromomyidae,Tinimomys,"S. G. B. Chester and K. C. Beard. 2012. New micromomyid plesiadapiforms (Mammalia, Euarchonta) from the late Paleocene of Big Multi Quarry, Washakie Basin, Wyoming. Annals of Carnegie Museum 80(2):159-172"
Micromomys silvercouleei,48518,48518,Micromomys silvercouleei,,48518,species,40707,1973,3351,extinct,1,Micromomyidae,Micromomys,F. S. Szalay. 1973. New Paleocene Primates and a diagnosis of the new suborder Paromomyiformes. Folia Primatologica 19:73-87
Chalicomomys antelucanus,45046,45046,Chalicomomys antelucanus,,45046,species,40706,1989,1042,extinct,3,Micromomyidae,Chalicomomys,"K. C. Beard and P. Houde. 1989. An unusual assemblage of diminutive plesiadapiforms (Mammalia, ?Primates) from the early Eocene of the Clark's Fork Basin, Wyoming. Journal of Vertebrate Paleontology 9(4):388-399"
Foxomomys fremdi,48517,358839,Foxomomys fremdi,,48517,species,358838,1984,1529,extinct,1,Micromomyidae,Foxomomys,"R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
Foxomomys gunnelli,358849,358851,Foxomomys gunnelli,,358849,species,358838,2008,63104,extinct,2,Micromomyidae,Foxomomys,"R. Secord. 2008. The Tiffanian Land-Mammal Age (middle and late Paleocene) in the northern Bighorn Basin, Wyoming. University of Michigan Papers on Paleontology 35:1-192"
Foxomomys vossae,48519,358846,Foxomomys vossae,,48519,species,358838,1978,2156,extinct,1,Micromomyidae,Foxomomys,D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15
Chasselasia eldredgei,348248,348248,Chasselasia eldredgei,,348248,species,348247,2011,60954,extinct,1,NO_FAMILY_SPECIFIED,Chasselasia,L. Costeur and M. Schneider. 2011. Catalogue of the Eocene mammal types of the Natural History Museum Basel. Carnets de Géologie - Notebooks on Geology
Altanius orlovi,101080,101080,Altanius orlovi,,101080,species,40796,1977,59493,extinct,2,NO_FAMILY_SPECIFIED,Altanius,D. Dashzeveg and M. C. McKenna. 1977. Tarsioid primate from the Early Tertiary of the Mongolian People’s Republic. Acta Palaeontologica Polonica 22(2):119-137
Altiatlasius koulchii,144005,144005,Altiatlasius koulchii,,144005,species,92577,1999,10304,extinct,2,NO_FAMILY_SPECIFIED,Altiatlasius,"J. J. Hooker, D. E. Russell, and A. Phelzion. 1999. A new family of Plesiadapiformes (Mammalia) from the Old World Lower Paleogene. Palaeontology 42(3):377-407"
Picrodus calgariensis,68067,68067,Picrodus calgariensis,,68067,species,40711,2005,14679,extinct,2,Picrodontidae,Picrodus,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus silberlingi,50355,50355,Picrodus silberlingi,,50355,species,40711,1908,1384,extinct,11,Picrodontidae,Picrodus,E. Douglass. 1908. Vertebrate fossils from the Fort Union beds. Annals of Carnegie Museum 5(2):11-26
Picrodus silberlingi,48060,48060,Megopterna minuta,subjective synonym of,50355,species,40711,1908,1384,extinct,11,Picrodontidae,Picrodus,E. Douglass. 1908. Vertebrate fossils from the Fort Union beds. Annals of Carnegie Museum 5(2):11-26
Picrodus canpacius,68068,68068,Picrodus canpacius,,68068,species,40711,2005,14679,extinct,6,Picrodontidae,Picrodus,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
