county,county_name,district,district_name,k12_enrollment,reduced,free,total_reduced_free,percent_reduced_free,year
45,Howard,3029,Howard-Winneshiek,999,,,427,42.74,2020
42,Hardin,3033,Hubbard-Radcliffe,381,,,166,43.57,2020
7,Black Hawk,3042,Hudson,732,,,214,29.23,2020
46,Humboldt,3060,Humboldt,1443,,,515,35.69,2020
10,Buchanan,3105,Independence,1370,,,564,41.17,2020
91,Warren,3114,Indianola,3490,,,864,24.76,2020
61,Madison,3119,Interstate 35,787,,,212,26.94,2020
52,Johnson,3141,Iowa City,13947,,,5125,36.75,2020
42,Hardin,3150,Iowa Falls,1156,,,508,43.94,2020
48,Iowa,3154,Iowa Valley,500,,,189,37.8,2020
14,Carroll,3168,IKM-Manning,668,,,233,34.88,2020
9,Bremer,3186,Janesville Consolidated,412,,,73,17.72,2020
37,Greene,3195,Greene County,1131,,,547,48.36,2020
10,Buchanan,3204,Jesup,964,,,202,20.95,2020
77,Polk,3231,Johnston,7102,,,1429,20.12,2020
56,Lee,3312,Keokuk,1774,,,1038,58.51,2020
54,Keokuk,3330,Keota,297,,,138,46.46,2020
75,Plymouth,3348,Kingsley-Pierson,454,,,161,35.46,2020
63,Marion,3375,Knoxville,1588,,,620,39.04,2020
95,Winnebago,3420,Lake Mills,658,,,216,32.83,2020
27,Decatur,3465,Lamoni,315,,,166,52.7,2020
76,Pocahontas,3537,Laurens-Marathon,106,,,69,65.09,2020
97,Woodbury,3555,Lawton-Bronson,658,,,126,19.15,2020
75,Plymouth,3600,Le Mars,2179,,,724,33.23,2020
87,Taylor,3609,Lenox,471,,,263,55.84,2020
78,Pottawattamie,3645,Lewis Central,2911,,,1134,38.96,2020
16,Cedar,3691,North Cedar,598,,,288,48.16,2020
57,Linn,3715,Linn-Mar,7469,,,1671,22.37,2020
57,Linn,3744,Lisbon,654,,,112,17.13,2020
43,Harrison,3798,Logan-Magnolia,613,,,164,26.75,2020
52,Johnson,3816,Lone Tree,432,,,122,28.24,2020
58,Louisa,3841,Louisa-Muscatine,779,,,256,32.86,2020
55,Kossuth,3897,LuVerne,34,,,29,85.29,2020
50,Jasper,3906,Lynnville-Sully,497,,,129,25.96,2020
8,Boone,3942,Madrid,663,,,186,28.05,2020
65,Mills,3978,East Mills,423,,,167,39.48,2020
13,Calhoun,4023,Manson Northwest Webster,726,,,205,28.24,2020
67,Monona,4033,Maple Valley-Anthon Oto,620,,,369,59.52,2020
49,Jackson,4041,Maquoketa,1280,,,674,52.66,2020
28,Delaware,4043,Maquoketa Valley,676,,,221,32.69,2020
18,Cherokee,4068,Marcus-Meriden-Cleghorn,309,,,102,33.01,2020
57,Linn,4086,Marion Independent,2078,,,657,31.62,2020
64,Marshall,4104,Marshalltown,4833,,,3498,72.38,2020
91,Warren,4122,Martensdale-St Marys,522,,,124,23.75,2020
17,Cerro Gordo,4131,Mason City,3424,,,1916,55.96,2020
84,Sioux,4149,MOC-Floyd Valley,1466,,,364,24.83,2020
29,Des Moines,4203,Mediapolis,902,,,270,29.93,2020
63,Marion,4212,Melcher-Dallas,333,,,132,39.64,2020
53,Jones,4269,Midland,464,,,230,49.57,2020
92,Washington,4271,Mid-Prairie,1352,,,344,25.44,2020
43,Harrison,4356,Missouri Valley,745,,,265,35.57,2020
22,Clayton,4419,MFL MarMac,796,,,281,35.3,2020
79,Poweshiek,4437,Montezuma,455,,,177,38.9,2020
53,Jones,4446,Monticello,987,,,328,33.23,2020
4,Appanoose,4491,Moravia,375,,,167,44.53,2020
93,Wayne,4505,Mormon Trail,192,,,106,55.21,2020
58,Louisa,4509,Morning Sun,106,,,41,38.68,2020
4,Appanoose,4518,Moulton-Udell,174,,,96,55.17,2020
80,Ringgold,4527,Mount Ayr,573,,,298,52.01,2020
44,Henry,4536,Mount Pleasant,1822,,,884,48.52,2020
57,Linn,4554,Mount Vernon,1334,,,207,15.52,2020
20,Clarke,4572,Murray,267,,,110,41.2,2020
70,Muscatine,4581,Muscatine,4444,,,2020,45.45,2020
19,Chickasaw,4599,Nashua-Plainfield,562,,,197,35.05,2020
85,Story,4617,Nevada,1486,,,539,36.27,2020
11,Buena Vista,4644,Newell-Fonda,513,,,225,43.86,2020
19,Chickasaw,4662,New Hampton,947,,,347,36.64,2020
44,Henry,4689,New London,547,,,230,42.05,2020
50,Jasper,4725,Newton,2775,,,1266,45.62,2020
98,Worth,4772,Central Springs,714,,,236,33.05,2020
23,Clinton,4773,Northeast,839,,,246,29.32,2020
33,Fayette,4774,North Fayette Valley,999,,,388,38.84,2020
62,Mahaska,4776,North Mahaska,560,,,228,40.71,2020
57,Linn,4777,North Linn,520,,,95,18.27,2020
55,Kossuth,4778,North Kossuth,269,,,180,66.91,2020
77,Polk,4779,North Polk,1891,,,206,10.89,2020
82,Scott,4784,North Scott,3148,,,761,24.17,2020
86,Tama,4785,North Tama County,446,,,195,43.72,2020
98,Worth,4788,Northwood-Kensett,510,,,220,43.14,2020
91,Warren,4797,Norwalk,3209,,,611,19.04,2020
47,Ida,4860,Odebolt Arthur Battle Creek Ida Grove,937,,,451,48.13,2020
33,Fayette,4869,Oelwein,1233,,,703,57.02,2020
8,Boone,4878,Ogden,682,,,179,26.25,2020
30,Dickinson,4890,Okoboji,1115,,,389,34.89,2020
53,Jones,4905,Olin Consolidated,76,,,48,63.16,2020
1,Adair,4978,Orient-Macksburg,150,,,97,64.67,2020
66,Mitchell,4995,Osage,909,,,336,36.96,2020
62,Mahaska,5013,Oskaloosa,1990,,,847,42.56,2020
90,Wapello,5049,Ottumwa,4281,,,645,15.07,2020
39,Guthrie,5121,Panorama,678,,,266,39.23,2020
37,Greene,5139,Paton-Churdan,210,,,96,45.71,2020
50,Jasper,5160,PCM,1055,,,278,26.35,2020
54,Keokuk,5163,Pekin,667,,,242,36.28,2020
63,Marion,5166,Pella,2290,,,355,15.5,2020
25,Dallas,5184,Perry,1679,,,922,54.91,2020
82,Scott,5250,Pleasant Valley,5111,,,516,10.1,2020
63,Marion,5256,Pleasantville,673,,,248,36.85,2020
76,Pocahontas,5283,Pocahontas Area,692,,,392,56.65,2020
3,Allamakee,5310,Postville,715,,,714,99.86,2020
94,Webster,5325,Prairie Valley,525,,,251,47.81,2020
69,Montgomery,5463,Red Oak,997,,,525,52.66,2020
75,Plymouth,5486,Remsen-Union,300,,,110,36.67,2020
45,Howard,5508,Riceville,359,,,138,38.44,2020
78,Pottawattamie,5510,Riverside,589,,,255,43.29,2020
84,Sioux,5607,Rock Valley,858,,,837,97.55,2020
85,Story,5643,Roland-Story,1016,,,212,20.87,2020
34,Floyd,5697,Rudd-Rockford-Marble Rk,385,,,185,48.05,2020
74,Palo Alto,5724,Ruthven-Ayrshire,171,,,62,36.26,2020
66,Mitchell,5751,St Ansgar,572,,,137,23.95,2020
77,Polk,5805,Saydel,1254,,,783,62.44,2020
81,Sac,5823,Schaller-Crestland,331,,,182,54.98,2020
24,Crawford,5832,Schleswig,160,,,69,43.13,2020
97,Woodbury,5877,Sergeant Bluff-Luton,1598,,,419,26.22,2020
93,Wayne,5895,Seymour,224,,,134,59.82,2020
17,Cerro Gordo,5922,West Fork,674,,,256,37.98,2020
71,O'Brien,5949,Sheldon,1119,,,436,38.96,2020
73,Page,5976,Shenandoah,992,,,575,57.96,2020
72,Osceola,5994,Sibley-Ocheyedan,715,,,356,49.79,2020
36,Fremont,6003,Sidney,458,,,230,50.22,2020
54,Keokuk,6012,Sigourney,550,,,184,33.45,2020
84,Sioux,6030,Sioux Center,1479,,,555,37.53,2020
11,Buena Vista,6035,Sioux Central,627,,,243,38.76,2020
97,Woodbury,6039,Sioux City,14238,,,9974,70.05,2020
13,Calhoun,6091,South Central Calhoun,836,,,379,45.33,2020
52,Johnson,6093,Solon,1467,,,119,8.11,2020
91,Warren,6094,Southeast Warren,471,,,139,29.51,2020
40,Hamilton,6095,South Hamilton,649,,,171,26.35,2020
94,Webster,6096,Southeast Webster Grand,509,,,230,45.19,2020
73,Page,6097,South Page,125,,,88,70.4,2020
86,Tama,6098,South Tama County,1451,,,919,63.34,2020
71,O'Brien,6099,South O'Brien,546,,,190,34.8,2020
96,Winneshiek,6100,South Winneshiek,473,,,164,34.67,2020
77,Polk,6101,Southeast Polk,6836,,,2197,32.14,2020
21,Clay,6102,Spencer,2114,,,905,42.81,2020
30,Dickinson,6120,Spirit Lake,1214,,,311,25.62,2020
57,Linn,6138,Springville,393,,,97,24.68,2020
69,Montgomery,6165,Stanton,245,,,86,35.1,2020
33,Fayette,6175,Starmont,569,,,236,41.48,2020
11,Buena Vista,6219,Storm Lake,2712,,,1932,71.24,2020
40,Hamilton,6246,Stratford,56,,,56,100,2020
39,Guthrie,6264,West Central Valley,808,,,329,40.72,2020
9,Bremer,6273,Sumner-Fredericksburg,767,,,241,31.42,2020
16,Cedar,6408,Tipton,937,,,253,27,2020
78,Pottawattamie,6453,Treynor,808,,,97,12,2020
78,Pottawattamie,6460,Tri-Center,661,,,220,33.28,2020
54,Keokuk,6462,Tri-County,218,,,105,48.17,2020
9,Bremer,6471,Tripoli,356,,,160,44.94,2020
96,Winneshiek,6509,Turkey Valley,320,,,122,38.13,2020
63,Marion,6512,Twin Cedars,304,,,133,43.75,2020
46,Humboldt,6516,Twin Rivers,47,,,15,31.91,2020
78,Pottawattamie,6534,Underwood,768,,,123,16.02,2020
7,Black Hawk,6536,Union,968,,,263,27.17,2020
8,Boone,6561,United,275,,,67,24.36,2020
77,Polk,6579,Urbandale,3867,,,388,10.03,2020
89,Van Buren,6592,Van Buren County,766,,,399,52.09,2020
25,Dallas,6615,Van Meter,929,,,71,7.64,2020
69,Montgomery,6651,Villisca,265,,,134,50.57,2020
6,Benton,6660,Vinton-Shellsburg,1412,,,587,41.57,2020
44,Henry,6700,Waco,432,,,206,47.69,2020
81,Sac,6741,East Sac County,760,,,387,50.92,2020
58,Louisa,6759,Wapello,525,,,247,47.05,2020
9,Bremer,6762,Wapsie Valley,701,,,144,20.54,2020
92,Washington,6768,Washington,1507,,,770,51.09,2020
7,Black Hawk,6795,Waterloo,10249,,,7516,73.33,2020
25,Dallas,6822,Waukee,11579,,,1709,14.76,2020
9,Bremer,6840,Waverly-Shell Rock,2226,,,523,23.5,2020
93,Wayne,6854,Wayne,570,,,317,55.61,2020
40,Hamilton,6867,Webster City,1731,,,859,49.62,2020
74,Palo Alto,6921,West Bend-Mallard,328,,,143,43.6,2020
16,Cedar,6930,West Branch,776,,,172,22.16,2020
29,Des Moines,6937,West Burlington Ind,914,,,403,44.09,2020
33,Fayette,6943,West Central,264,,,127,48.11,2020
28,Delaware,6950,West Delaware County,1328,,,475,35.77,2020
77,Polk,6957,West Des Moines,8796,,,3603,40.96,2020
31,Dubuque,6961,Western Dubuque,3413,,,921,26.99,2020
43,Harrison,6969,West Harrison,278,,,118,42.45,2020
70,Muscatine,6975,West Liberty,1242,,,788,63.45,2020
60,Lyon,6983,West Lyon,911,,,220,24.15,2020
64,Marshall,6985,West Marshall,922,,,262,28.42,2020
67,Monona,6987,West Monona,582,,,304,52.23,2020
84,Sioux,6990,West Sioux,780,,,481,61.67,2020
97,Woodbury,6992,Westwood,566,,,194,34.28,2020
67,Monona,7002,Whiting,178,,,103,57.87,2020
48,Iowa,7029,Williamsburg,1153,,,266,23.07,2020
70,Muscatine,7038,Wilton,905,,,320,35.36,2020
44,Henry,7047,Winfield-Mt Union,382,,,217,56.81,2020
61,Madison,7056,Winterset,1599,,,551,34.46,2020
43,Harrison,7092,Woodbine,447,,,171,38.26,2020
97,Woodbury,7098,Woodbury Central,555,,,170,30.63,2020
25,Dallas,7110,Woodward-Granger,1098,,,167,15.21,2020
42,Hardin,9,AGWSR,623,,,299,47.99,2020
39,Guthrie,18,Adair-Casey,242,,,118,48.76,2020
25,Dallas,27,Adel DeSoto Minburn,2069,,,364,17.59,2020
75,Plymouth,63,Akron Westfield,558,,,161,28.85,2020
11,Buena Vista,72,Albert City-Truesdale,103,,,52,50.49,2020
68,Monroe,81,Albia,1128,,,437,38.74,2020
57,Linn,99,Alburnett,669,,,153,22.87,2020
42,Hardin,108,Alden,139,,,45,32.37,2020
55,Kossuth,126,Algona,1357,,,486,35.81,2020
3,Allamakee,135,Allamakee,1053,,,460,43.68,2020
12,Butler,153,North Butler,538,,,150,27.88,2020
11,Buena Vista,171,Alta-Aurelia,758,,,332,43.8,2020
85,Story,225,Ames,4421,,,1441,32.59,2020
53,Jones,234,Anamosa,1168,,,449,38.44,2020
49,Jackson,243,Andrew,132,,,41,31.06,2020
77,Polk,261,Ankeny,11864,,,1505,12.69,2020
12,Butler,279,Aplington-Parkersburg,788,,,231,29.31,2020
32,Emmet,333,North Union,322,,,179,55.59,2020
24,Crawford,355,Ar-We-Va,226,,,108,47.79,2020
15,Cass,387,Atlantic,1393,,,753,54.06,2020
5,Audubon,414,Audubon,492,,,190,38.62,2020
78,Pottawattamie,441,AHSTW,685,,,279,40.73,2020
85,Story,472,Ballard,1703,,,261,15.33,2020
50,Jasper,513,Baxter,437,,,102,23.34,2020
38,Grundy,540,BCLUW,519,,,165,31.79,2020
87,Taylor,549,Bedford,479,,,222,46.35,2020
6,Benton,576,Belle Plaine,463,,,170,36.72,2020
49,Jackson,585,Bellevue,664,,,184,27.71,2020
99,Wright,594,Belmond-Klemme,681,,,335,49.19,2020
16,Cedar,603,Bennett,79,,,42,53.16,2020
6,Benton,609,Benton,1464,,,397,27.12,2020
82,Scott,621,Bettendorf,4457,,,1394,31.28,2020
90,Wapello,657,Eddyville-Blakesburg- Fremont,922,,,265,28.74,2020
77,Polk,720,Bondurant-Farrar,2380,,,441,18.53,2020
8,Boone,729,Boone,1854,,,671,36.19,2020
84,Sioux,747,Boyden-Hull,610,,,234,38.36,2020
41,Hancock,819,West Hancock,566,,,230,40.64,2020
79,Poweshiek,846,Brooklyn-Guernsey-Malcom,552,,,210,38.04,2020
95,Winnebago,873,North Iowa,406,,,128,31.53,2020
29,Des Moines,882,Burlington,3191,,,1918,60.11,2020
15,Cass,914,CAM,1369,,,591,43.17,2020
35,Franklin,916,CAL,110,,,67,60.91,2020
23,Clinton,918,Calamus-Wheatland,425,,,158,37.18,2020
23,Clinton,936,Camanche,894,,,357,39.93,2020
90,Wapello,977,Cardinal,949,,,522,55.01,2020
91,Warren,981,Carlisle,2151,,,588,27.34,2020
14,Carroll,999,Carroll,1688,,,567,33.59,2020
7,Black Hawk,1044,Cedar Falls,5608,,,1331,23.73,2020
57,Linn,1053,Cedar Rapids,14946,,,8514,56.97,2020
57,Linn,1062,Center Point-Urbana,1441,,,236,16.38,2020
4,Appanoose,1071,Centerville,1288,,,690,53.57,2020
56,Lee,1079,Central Lee,1131,,,488,43.15,2020
22,Clayton,1080,Central,402,,,155,38.56,2020
23,Clinton,1082,Central DeWitt,1507,,,435,28.87,2020
57,Linn,1089,Central City,454,,,173,38.11,2020
27,Decatur,1093,Central Decatur,654,,,434,66.36,2020
60,Lyon,1095,Central Lyon,726,,,246,33.88,2020
59,Lucas,1107,Chariton,1196,,,654,54.68,2020
34,Floyd,1116,Charles City,1533,,,809,52.77,2020
24,Crawford,1134,Charter Oak-Ute,176,,,108,61.36,2020
18,Cherokee,1152,Cherokee,1113,,,474,42.59,2020
73,Page,1197,Clarinda,1042,,,382,36.66,2020
99,Wright,1206,Clarion-Goldfield-Dows,904,,,520,57.52,2020
20,Clarke,1211,Clarke,1289,,,665,51.59,2020
12,Butler,1215,Clarksville,277,,,76,27.44,2020
21,Clay,1218,Clay Central-Everly,67,,,48,71.64,2020
52,Johnson,1221,Clear Creek Amana,2640,,,551,20.87,2020
17,Cerro Gordo,1233,Clear Lake,1395,,,404,28.96,2020
23,Clinton,1278,Clinton,3289,,,1761,53.54,2020
50,Jasper,1332,Colfax-Mingo,669,,,285,42.6,2020
57,Linn,1337,College,5389,,,1654,30.69,2020
85,Story,1350,Collins-Maxwell,373,,,121,32.44,2020
85,Story,1359,Colo-NESCO,369,,,159,43.09,2020
58,Louisa,1368,Columbus,645,,,393,60.93,2020
14,Carroll,1413,Coon Rapids-Bayard,403,,,168,41.69,2020
2,Adams,1431,Corning,393,,,164,41.73,2020
78,Pottawattamie,1476,Council Bluffs,8485,,,5942,70.03,2020
88,Union,1503,Creston,1367,,,760,55.6,2020
25,Dallas,1576,Dallas Center-Grimes,3321,,,468,14.09,2020
29,Des Moines,1602,Danville,676,,,208,30.77,2020
82,Scott,1611,Davenport,13888,,,8135,58.58,2020
26,Davis,1619,Davis County,1210,,,612,50.58,2020
96,Winneshiek,1638,Decorah Community,1572,,,364,23.16,2020
23,Clinton,1675,Delwood,130,,,61,46.92,2020
24,Crawford,1701,Denison,2205,,,1590,72.11,2020
9,Bremer,1719,Denver,884,,,126,14.25,2020
77,Polk,1737,Des Moines Independent,30237,,,23523,77.8,2020
80,Ringgold,1782,Diagonal,117,,,77,65.81,2020
38,Grundy,1791,Dike-New Hartford,881,,,184,20.89,2020
31,Dubuque,1863,Dubuque,9994,,,4140,41.42,2020
7,Black Hawk,1908,Dunkerton,374,,,129,34.49,2020
43,Harrison,1917,Boyer Valley,379,,,133,35.09,2020
16,Cedar,1926,Durant,587,,,183,31.18,2020
99,Wright,1944,Eagle Grove,933,,,558,59.81,2020
61,Madison,1953,Earlham,586,,,129,22.01,2020
10,Buchanan,1963,East Buchanan,562,,,217,38.61,2020
49,Jackson,1965,Easton Valley,441,,,182,41.27,2020
64,Marshall,1968,East Marshall,766,,,324,42.3,2020
88,Union,1970,East Union,512,,,277,54.1,2020
3,Allamakee,1972,Eastern Allamakee,303,,,130,42.9,2020
97,Woodbury,1975,River Valley,378,,,191,50.53,2020
28,Delaware,1989,Edgewood-Colesburg,493,,,172,34.89,2020
42,Hardin,2007,Eldora-New Providence,494,,,235,47.57,2020
74,Palo Alto,2088,Emmetsburg,733,,,337,45.98,2020
48,Iowa,2097,English Valleys,442,,,179,40.5,2020
73,Page,2113,Essex,180,,,113,62.78,2020
32,Emmet,2124,Estherville Lincoln,1181,,,640,54.19,2020
83,Shelby,2151,Exira-Elk Horn- Kimballton,345,,,167,48.41,2020
51,Jefferson,2169,Fairfield,1526,,,685,44.89,2020
95,Winnebago,2295,Forest City,1065,,,385,36.15,2020
94,Webster,2313,Fort Dodge,3559,,,2012,56.53,2020
56,Lee,2322,Fort Madison,1773,,,938,52.9,2020
36,Fremont,2369,Fremont-Mills,439,,,139,31.66,2020
47,Ida,2376,Galva-Holstein,458,,,196,42.79,2020
41,Hancock,2403,Garner-Hayfield-Ventura,908,,,255,28.08,2020
60,Lyon,2457,George-Little Rock,382,,,152,39.79,2020
85,Story,2466,Gilbert,1526,,,104,6.82,2020
46,Humboldt,2493,Gilmore City-Bradgate,94,,,62,65.96,2020
38,Grundy,2502,Gladbrook-Reinbeck,443,,,136,30.7,2020
65,Mills,2511,Glenwood,1922,,,764,39.75,2020
14,Carroll,2520,Glidden-Ralston,322,,,88,27.33,2020
74,Palo Alto,2556,Graettinger-Terril,319,,,166,52.04,2020
1,Adair,2673,Nodaway Valley,598,,,306,51.17,2020
86,Tama,2682,GMG,464,,,221,47.63,2020
79,Poweshiek,2709,Grinnell-Newburg,1529,,,468,30.61,2020
15,Cass,2718,Griswold,393,,,173,44.02,2020
38,Grundy,2727,Grundy Center,703,,,195,27.74,2020
39,Guthrie,2754,Guthrie Center,457,,,174,38.07,2020
22,Clayton,2763,Clayton Ridge,1400,,,503,35.93,2020
48,Iowa,2766,H-L-V,312,,,99,31.73,2020
48,Iowa,2772,Hamburg,116,,,82,70.69,2020
35,Franklin,2781,Hampton-Dumont,1205,,,725,60.17,2020
83,Shelby,2826,Harlan,1417,,,561,39.59,2020
30,Dickinson,2846,Harris-Lake Park,321,,,91,28.35,2020
71,O'Brien,2862,Hartley-Melvin-Sanborn,573,,,270,47.12,2020
92,Washington,2977,Highland,535,,,133,24.86,2020
75,Plymouth,2988,Hinton,771,,,173,22.44,2020
45,Howard,3029,Howard-Winneshiek,999,,,427,42.74,2020
42,Hardin,3033,Hubbard-Radcliffe,381,,,166,43.57,2020
7,Black Hawk,3042,Hudson,732,,,214,29.23,2020
46,Humboldt,3060,Humboldt,1443,,,515,35.69,2020
10,Buchanan,3105,Independence,1370,,,564,41.17,2020
91,Warren,3114,Indianola,3490,,,864,24.76,2020
61,Madison,3119,Interstate 35,787,,,212,26.94,2020
52,Johnson,3141,Iowa City,13947,,,5125,36.75,2020
42,Hardin,3150,Iowa Falls,1156,,,508,43.94,2020
48,Iowa,3154,Iowa Valley,500,,,189,37.8,2020
14,Carroll,3168,IKM-Manning,668,,,233,34.88,2020
9,Bremer,3186,Janesville Consolidated,412,,,73,17.72,2020
37,Greene,3195,Greene County,1131,,,547,48.36,2020
10,Buchanan,3204,Jesup,964,,,202,20.95,2020
77,Polk,3231,Johnston,7102,,,1429,20.12,2020
56,Lee,3312,Keokuk,1774,,,1038,58.51,2020
54,Keokuk,3330,Keota,297,,,138,46.46,2020
75,Plymouth,3348,Kingsley-Pierson,454,,,161,35.46,2020
63,Marion,3375,Knoxville,1588,,,620,39.04,2020
95,Winnebago,3420,Lake Mills,658,,,216,32.83,2020
27,Decatur,3465,Lamoni,315,,,166,52.7,2020
76,Pocahontas,3537,Laurens-Marathon,106,,,69,65.09,2020
97,Woodbury,3555,Lawton-Bronson,658,,,126,19.15,2020
75,Plymouth,3600,Le Mars,2179,,,724,33.23,2020
87,Taylor,3609,Lenox,471,,,263,55.84,2020
78,Pottawattamie,3645,Lewis Central,2911,,,1134,38.96,2020
16,Cedar,3691,North Cedar,598,,,288,48.16,2020
57,Linn,3715,Linn-Mar,7469,,,1671,22.37,2020
57,Linn,3744,Lisbon,654,,,112,17.13,2020
43,Harrison,3798,Logan-Magnolia,613,,,164,26.75,2020
52,Johnson,3816,Lone Tree,432,,,122,28.24,2020
58,Louisa,3841,Louisa-Muscatine,779,,,256,32.86,2020
55,Kossuth,3897,LuVerne,34,,,29,85.29,2020
50,Jasper,3906,Lynnville-Sully,497,,,129,25.96,2020
8,Boone,3942,Madrid,663,,,186,28.05,2020
65,Mills,3978,East Mills,423,,,167,39.48,2020
13,Calhoun,4023,Manson Northwest Webster,726,,,205,28.24,2020
67,Monona,4033,Maple Valley-Anthon Oto,620,,,369,59.52,2020
49,Jackson,4041,Maquoketa,1280,,,674,52.66,2020
28,Delaware,4043,Maquoketa Valley,676,,,221,32.69,2020
18,Cherokee,4068,Marcus-Meriden-Cleghorn,309,,,102,33.01,2020
57,Linn,4086,Marion Independent,2078,,,657,31.62,2020
64,Marshall,4104,Marshalltown,4833,,,3498,72.38,2020
91,Warren,4122,Martensdale-St Marys,522,,,124,23.75,2020
17,Cerro Gordo,4131,Mason City,3424,,,1916,55.96,2020
84,Sioux,4149,MOC-Floyd Valley,1466,,,364,24.83,2020
29,Des Moines,4203,Mediapolis,902,,,270,29.93,2020
63,Marion,4212,Melcher-Dallas,333,,,132,39.64,2020
53,Jones,4269,Midland,464,,,230,49.57,2020
92,Washington,4271,Mid-Prairie,1352,,,344,25.44,2020
43,Harrison,4356,Missouri Valley,745,,,265,35.57,2020
22,Clayton,4419,MFL MarMac,796,,,281,35.3,2020
79,Poweshiek,4437,Montezuma,455,,,177,38.9,2020
53,Jones,4446,Monticello,987,,,328,33.23,2020
4,Appanoose,4491,Moravia,375,,,167,44.53,2020
93,Wayne,4505,Mormon Trail,192,,,106,55.21,2020
58,Louisa,4509,Morning Sun,106,,,41,38.68,2020
4,Appanoose,4518,Moulton-Udell,174,,,96,55.17,2020
80,Ringgold,4527,Mount Ayr,573,,,298,52.01,2020
44,Henry,4536,Mount Pleasant,1822,,,884,48.52,2020
57,Linn,4554,Mount Vernon,1334,,,207,15.52,2020
20,Clarke,4572,Murray,267,,,110,41.2,2020
70,Muscatine,4581,Muscatine,4444,,,2020,45.45,2020
19,Chickasaw,4599,Nashua-Plainfield,562,,,197,35.05,2020
85,Story,4617,Nevada,1486,,,539,36.27,2020
11,Buena Vista,4644,Newell-Fonda,513,,,225,43.86,2020
19,Chickasaw,4662,New Hampton,947,,,347,36.64,2020
44,Henry,4689,New London,547,,,230,42.05,2020
50,Jasper,4725,Newton,2775,,,1266,45.62,2020
98,Worth,4772,Central Springs,714,,,236,33.05,2020
23,Clinton,4773,Northeast,839,,,246,29.32,2020
33,Fayette,4774,North Fayette Valley,999,,,388,38.84,2020
62,Mahaska,4776,North Mahaska,560,,,228,40.71,2020
57,Linn,4777,North Linn,520,,,95,18.27,2020
55,Kossuth,4778,North Kossuth,269,,,180,66.91,2020
77,Polk,4779,North Polk,1891,,,206,10.89,2020
82,Scott,4784,North Scott,3148,,,761,24.17,2020
86,Tama,4785,North Tama County,446,,,195,43.72,2020
98,Worth,4788,Northwood-Kensett,510,,,220,43.14,2020
91,Warren,4797,Norwalk,3209,,,611,19.04,2020
47,Ida,4860,Odebolt Arthur Battle Creek Ida Grove,937,,,451,48.13,2020
33,Fayette,4869,Oelwein,1233,,,703,57.02,2020
8,Boone,4878,Ogden,682,,,179,26.25,2020
30,Dickinson,4890,Okoboji,1115,,,389,34.89,2020
53,Jones,4905,Olin Consolidated,76,,,48,63.16,2020
1,Adair,4978,Orient-Macksburg,150,,,97,64.67,2020
66,Mitchell,4995,Osage,909,,,336,36.96,2020
62,Mahaska,5013,Oskaloosa,1990,,,847,42.56,2020
90,Wapello,5049,Ottumwa,4281,,,645,15.07,2020
39,Guthrie,5121,Panorama,678,,,266,39.23,2020
37,Greene,5139,Paton-Churdan,210,,,96,45.71,2020
50,Jasper,5160,PCM,1055,,,278,26.35,2020
54,Keokuk,5163,Pekin,667,,,242,36.28,2020
63,Marion,5166,Pella,2290,,,355,15.5,2020
25,Dallas,5184,Perry,1679,,,922,54.91,2020
82,Scott,5250,Pleasant Valley,5111,,,516,10.1,2020
63,Marion,5256,Pleasantville,673,,,248,36.85,2020
76,Pocahontas,5283,Pocahontas Area,692,,,392,56.65,2020
3,Allamakee,5310,Postville,715,,,714,99.86,2020
94,Webster,5325,Prairie Valley,525,,,251,47.81,2020
69,Montgomery,5463,Red Oak,997,,,525,52.66,2020
75,Plymouth,5486,Remsen-Union,300,,,110,36.67,2020
45,Howard,5508,Riceville,359,,,138,38.44,2020
78,Pottawattamie,5510,Riverside,589,,,255,43.29,2020
84,Sioux,5607,Rock Valley,858,,,837,97.55,2020
85,Story,5643,Roland-Story,1016,,,212,20.87,2020
34,Floyd,5697,Rudd-Rockford-Marble Rk,385,,,185,48.05,2020
74,Palo Alto,5724,Ruthven-Ayrshire,171,,,62,36.26,2020
66,Mitchell,5751,St Ansgar,572,,,137,23.95,2020
77,Polk,5805,Saydel,1254,,,783,62.44,2020
81,Sac,5823,Schaller-Crestland,331,,,182,54.98,2020
24,Crawford,5832,Schleswig,160,,,69,43.13,2020
97,Woodbury,5877,Sergeant Bluff-Luton,1598,,,419,26.22,2020
93,Wayne,5895,Seymour,224,,,134,59.82,2020
17,Cerro Gordo,5922,West Fork,674,,,256,37.98,2020
71,O'Brien,5949,Sheldon,1119,,,436,38.96,2020
73,Page,5976,Shenandoah,992,,,575,57.96,2020
72,Osceola,5994,Sibley-Ocheyedan,715,,,356,49.79,2020
36,Fremont,6003,Sidney,458,,,230,50.22,2020
54,Keokuk,6012,Sigourney,550,,,184,33.45,2020
84,Sioux,6030,Sioux Center,1479,,,555,37.53,2020
11,Buena Vista,6035,Sioux Central,627,,,243,38.76,2020
97,Woodbury,6039,Sioux City,14238,,,9974,70.05,2020
13,Calhoun,6091,South Central Calhoun,836,,,379,45.33,2020
52,Johnson,6093,Solon,1467,,,119,8.11,2020
91,Warren,6094,Southeast Warren,471,,,139,29.51,2020
40,Hamilton,6095,South Hamilton,649,,,171,26.35,2020
