county,county_name,district,district_name,k12_enrollment,reduced,free,total_reduced_free,percent_reduced_free,year
90,Wapello,5049,Ottumwa Comm School District,4368,,,2108,48.26,2021
39,Guthrie,5121,Panorama Comm School District,680,,,274,40.29,2021
37,Greene,5139,Paton-Churdan Comm School District,188,,,86,45.74,2021
50,Jasper,5160,PCM Comm School District,1056,,,247,23.39,2021
51,Jefferson,5163,Pekin Comm School District,632,,,202,31.96,2021
63,Marion,5166,Pella Comm School District,2333,,,444,19.03,2021
25,Dallas,5184,Perry Comm School District,1702,,,836,49.12,2021
82,Scott,5250,Pleasant Valley Comm School District,5311,,,509,9.58,2021
63,Marion,5256,Pleasantville Comm School District,718,,,236,32.87,2021
76,Pocahontas,5283,Pocahontas Area Comm School District,696,,,333,47.84,2021
3,Allamakee,5310,Postville Comm School District,657,,,473,71.99,2021
94,Webster,5325,Prairie Valley Comm School District,538,,,222,41.26,2021
69,Montgomery,5463,Red Oak Comm School District,1020,,,583,57.16,2021
75,Plymouth,5486,Remsen-Union Comm School District,316,,,99,31.33,2021
45,Howard,5508,Riceville Comm School District,363,,,137,37.74,2021
78,Pottawattamie,5510,Riverside Comm School District,614,,,242,39.41,2021
84,Sioux,5607,Rock Valley Comm School District,895,,,351,39.22,2021
85,Story,5643,Roland-Story Comm School District,1036,,,194,18.73,2021
34,Floyd,5697,Rudd-Rockford-Marble Rk Comm School District,373,,,173,46.38,2021
74,Palo Alto,5724,Ruthven-Ayrshire Comm School District,155,,,79,50.97,2021
66,Mitchell,5751,St Ansgar Comm School District,548,,,135,24.64,2021
77,Polk,5805,Saydel Comm School District,1272,,,816,64.15,2021
81,Sac,5823,Schaller-Crestland Comm School District,329,,,150,45.59,2021
24,Crawford,5832,Schleswig Comm School District,137,,,58,42.34,2021
97,Woodbury,5877,Sergeant Bluff-Luton Comm School District,1621,,,431,26.59,2021
93,Wayne,5895,Seymour Comm School District,225,,,139,61.78,2021
17,Cerro Gordo,5922,West Fork Comm School District,692,,,252,36.42,2021
71,O'Brien,5949,Sheldon Comm School District,1128,,,455,40.34,2021
73,Page,5976,Shenandoah Comm School District,1007,,,509,50.55,2021
72,Osceola,5994,Sibley-Ocheyedan Comm School District,692,,,355,51.3,2021
36,Fremont,6003,Sidney Comm School District,467,,,229,49.04,2021
54,Keokuk,6012,Sigourney Comm School District,540,,,200,37.04,2021
84,Sioux,6030,Sioux Center Comm School District,1538,,,588,38.23,2021
11,Buena Vista,6035,Sioux Central Comm School District,594,,,257,43.27,2021
97,Woodbury,6039,Sioux City Comm School District,14353,,,9409,65.55,2021
13,Calhoun,6091,South Central Calhoun Comm School District,805,,,333,41.37,2021
52,Johnson,6093,Solon Comm School District,1457,,,95,6.52,2021
91,Warren,6094,Southeast Warren Comm School District,468,,,131,27.99,2021
40,Hamilton,6095,South Hamilton Comm School District,664,,,159,23.95,2021
94,Webster,6096,Southeast Webster Grand Comm School District,494,,,197,39.88,2021
73,Page,6097,South Page Comm School District,128,,,95,74.22,2021
86,Tama,6098,South Tama County,1403,,,687,48.97,2021
71,O'Brien,6099,South O'Brien  Comm School District,516,,,180,34.88,2021
96,Winneshiek,6100,South Winneshiek Comm School District,480,,,138,28.75,2021
77,Polk,6101,Southeast Polk Comm School District,6960,,,2287,32.86,2021
21,Clay,6102,Spencer Comm School District,2159,,,921,42.66,2021
30,Dickinson,6120,Spirit Lake Comm School District,1197,,,273,22.81,2021
57,Linn,6138,Springville Comm School District,387,,,83,21.45,2021
69,Montgomery,6165,Stanton Comm School District,267,,,96,35.96,2021
33,Fayette,6175,Starmont Comm School District,559,,,215,38.46,2021
11,Buena Vista,6219,Storm Lake Comm School District,2693,,,1939,72,2021
40,Hamilton,6246,Stratford Comm School District,53,,,24,45.28,2021
39,Guthrie,6264,West Central Valley Comm School District,815,,,348,42.7,2021
9,Bremer,6273,Sumner-Fredericksburg Comm School District,787,,,226,28.72,2021
16,Cedar,6408,Tipton Comm School District,915,,,226,24.7,2021
78,Pottawattamie,6453,Treynor Comm School District,804,,,96,11.94,2021
78,Pottawattamie,6460,Tri-Center Comm School District,674,,,179,26.56,2021
54,Keokuk,6462,Tri-County Comm School District,194,,,70,36.08,2021
9,Bremer,6471,Tripoli Comm School District,340,,,120,35.29,2021
96,Winneshiek,6509,Turkey Valley Comm School District,343,,,132,38.48,2021
63,Marion,6512,Twin Cedars Comm School District,307,,,121,39.41,2021
46,Humboldt,6516,Twin Rivers Comm School District,41,,,23,56.1,2021
78,Pottawattamie,6534,Underwood Comm School District,799,,,113,14.14,2021
7,Black Hawk,6536,Union Comm School District,991,,,274,27.65,2021
8,Boone,6561,United Comm School District,287,,,55,19.16,2021
77,Polk,6579,Urbandale Comm School District,3968,,,1365,34.4,2021
89,Van Buren,6592,Van Buren County Comm School District,795,,,400,50.31,2021
25,Dallas,6615,Van Meter Comm School District,993,,,57,5.74,2021
69,Montgomery,6651,Villisca Comm School District,268,,,120,44.78,2021
6,Benton,6660,Vinton-Shellsburg Comm School District,1470,,,539,36.67,2021
44,Henry,6700,Waco Comm School District,474,,,242,51.05,2021
81,Sac,6741,East Sac County Comm School District,769,,,342,44.47,2021
58,Louisa,6759,Wapello Comm School District,502,,,206,41.04,2021
9,Bremer,6762,Wapsie Valley Comm School District,703,,,117,16.64,2021
92,Washington,6768,Washington Comm School District,1519,,,765,50.36,2021
7,Black Hawk,6795,Waterloo Comm School District,10164,,,7422,73.02,2021
25,Dallas,6822,Waukee Comm School District,12205,,,1956,16.03,2021
9,Bremer,6840,Waverly-Shell Rock Comm School District,2256,,,461,20.43,2021
93,Wayne,6854,Wayne Comm School District,600,,,304,50.67,2021
40,Hamilton,6867,Webster City Comm School District,1759,,,663,37.69,2021
