"county_name","year","import_ratio"
"Adair",2009,2.64080459770115
"Adair",2010,2.39267015706806
"Adair",2011,2.43967828418231
"Adair",2012,2.43342776203966
"Adair",2019,2.01587301587302
"Adair",2020,1.8560794044665
"Adair",2021,2.34640522875817
"Adair",2022,2.0195530726257
"Adams",2009,2.4025974025974
"Adams",2010,2.09090909090909
"Adams",2011,2.06666666666667
"Adams",2012,2.18565400843882
"Adams",2019,2.23952095808383
"Adams",2020,2.39634146341463
"Adams",2021,2.85507246376812
"Adams",2022,2.30232558139535
"Allamakee",2009,0.923502304147465
"Allamakee",2010,0.877350044762757
"Allamakee",2011,0.844559585492228
"Allamakee",2012,0.809290953545232
"Allamakee",2019,1.60587792012057
"Allamakee",2020,1.58819018404908
"Allamakee",2021,1.951171875
"Allamakee",2022,1.90316573556797
"Appanoose",2009,0.608024691358025
"Appanoose",2010,0.65668449197861
"Appanoose",2011,0.64968152866242
"Appanoose",2012,0.625
"Appanoose",2019,1.89139344262295
"Appanoose",2020,1.92759706190976
"Appanoose",2021,1.93081081081081
"Appanoose",2022,2.02134831460674
"Audubon",2009,2.98958333333333
"Audubon",2010,3.04494382022472
"Audubon",2011,2.75261324041812
"Audubon",2012,2.93774319066148
"Audubon",2019,2.38139534883721
"Audubon",2020,2.58947368421053
"Audubon",2021,2.97687861271676
"Audubon",2022,2.50246305418719
"Benton",2009,0.512866015971606
"Benton",2010,0.508340649692713
"Benton",2011,0.522785898538263
"Benton",2012,0.527753303964758
"Benton",2019,2.93211488250653
"Benton",2020,2.89341421143847
"Benton",2021,3.04634581105169
"Benton",2022,2.92333901192504
"Black Hawk",2009,0.16622091468307
"Black Hawk",2010,0.141912276630309
"Black Hawk",2011,0.138417431192661
"Black Hawk",2012,0.137663489248504
"Black Hawk",2019,1.96156344737982
"Black Hawk",2020,1.89685814027293
"Black Hawk",2021,1.92595362752431
"Black Hawk",2022,1.87021943573668
"Boone",2009,1.28463476070529
"Boone",2010,1.21535022354694
"Boone",2011,1.18650217706821
"Boone",2012,1.26425269645609
"Boone",2019,2.90769230769231
"Boone",2020,3.14959202175884
"Boone",2021,3.04653204565408
"Boone",2022,3.01716738197425
"Bremer",2009,2.91151385927505
"Bremer",2010,2.90401567091087
"Bremer",2011,2.99692307692308
"Bremer",2012,2.76221198156682
"Bremer",2019,4.31832797427653
"Bremer",2020,4.21941594317285
"Bremer",2021,5.12784090909091
"Bremer",2022,4.1381679389313
"Buchanan",2009,1.64254385964912
"Buchanan",2010,1.68409090909091
"Buchanan",2011,1.59504132231405
"Buchanan",2012,1.73595505617978
"Buchanan",2019,3.15817984832069
"Buchanan",2020,2.94608341810783
"Buchanan",2021,3.54721549636804
"Buchanan",2022,3.28359908883827
"Buena Vista",2009,0.787166741979214
"Buena Vista",2010,0.774581365392872
"Buena Vista",2011,0.732665330661323
"Buena Vista",2012,0.700389105058366
"Buena Vista",2019,1.57982905982906
"Buena Vista",2020,1.69288793103448
"Buena Vista",2021,1.69186256781194
"Buena Vista",2022,1.78066215199398
"Butler",2009,3.51823416506718
"Butler",2010,3.32746478873239
"Butler",2011,3.01230769230769
"Butler",2012,2.97583081570997
"Butler",2019,3.27087576374745
"Butler",2020,3.50765864332604
"Butler",2021,4.4344262295082
"Butler",2022,3.48922413793103
"Calhoun",2009,3.03348554033486
"Calhoun",2010,2.91361639824305
"Calhoun",2011,2.75
"Calhoun",2012,2.70015455950541
"Calhoun",2019,2.68205128205128
"Calhoun",2020,2.67465753424658
"Calhoun",2021,2.89035916824197
"Calhoun",2022,2.58166666666667
"Carroll",2009,1.27783251231527
"Carroll",2010,1.1219512195122
"Carroll",2011,0.835714285714286
"Carroll",2012,0.861486486486487
"Carroll",2019,2.63800515907137
"Carroll",2020,2.91761363636364
"Carroll",2021,2.99310344827586
"Carroll",2022,2.62283737024221
"Cass",2009,0.987000928505107
"Cass",2010,0.978840846366145
"Cass",2011,0.910062333036509
"Cass",2012,1.080204778157
"Cass",2019,2.22906793048973
"Cass",2020,2.07976268951879
"Cass",2021,2.11788896504455
"Cass",2022,2.43068939955523
"Cedar",2009,4.24155193992491
"Cedar",2010,3.84726867335563
"Cedar",2011,3.78048780487805
"Cedar",2012,3.60774058577406
"Cedar",2019,3.35326688815061
"Cedar",2020,3.17377398720682
"Cedar",2021,3.43478260869565
"Cedar",2022,3.1091658084449
"Cerro Gordo",2009,0.279769262463947
"Cerro Gordo",2010,0.269822485207101
"Cerro Gordo",2011,0.111813512445674
"Cerro Gordo",2012,0.359038737446198
"Cerro Gordo",2019,2.16341370072713
"Cerro Gordo",2020,2.13237577639752
"Cerro Gordo",2021,2.30457069628364
"Cerro Gordo",2022,2.1055900621118
"Cherokee",2009,1.12824675324675
"Cherokee",2010,1.25765765765766
"Cherokee",2011,1.14566284779051
"Cherokee",2012,1.07478005865103
"Cherokee",2019,2.68855534709193
"Cherokee",2020,2.46875
"Cherokee",2021,2.71691176470588
"Cherokee",2022,2.58490566037736
"Chickasaw",2009,1.58267716535433
"Chickasaw",2010,1.49266862170088
"Chickasaw",2011,1.553772070626
"Chickasaw",2012,1.56309148264984
"Chickasaw",2019,2.70201096892139
"Chickasaw",2020,2.77389705882353
"Chickasaw",2021,3.31543624161074
"Chickasaw",2022,3.09623430962343
"Clarke",2009,0.424129353233831
"Clarke",2010,0.421185372005044
"Clarke",2011,0.403055229142186
"Clarke",2012,0.376734258271078
"Clarke",2019,1.75831485587583
"Clarke",2020,2.00774193548387
"Clarke",2021,1.85315533980583
"Clarke",2022,1.81946072684642
"Clay",2009,0.452747252747253
"Clay",2010,0.373150105708245
"Clay",2011,0.360323886639676
"Clay",2012,0.317658349328215
"Clay",2019,2.26483050847458
"Clay",2020,2.28856243441763
"Clay",2021,2.30769230769231
"Clay",2022,2.18799212598425
"Clayton",2009,2.67365661861075
"Clayton",2010,2.53846153846154
"Clayton",2011,2.51522842639594
"Clayton",2012,2.5796178343949
"Clayton",2019,2.61714285714286
"Clayton",2020,2.7667731629393
"Clayton",2021,2.89268292682927
"Clayton",2022,2.49490196078431
"Clinton",2009,0.421719457013575
"Clinton",2010,0.421236872812135
"Clinton",2011,0.447925992241122
"Clinton",2012,0.461990020545935
"Clinton",2019,2.33911620294599
"Clinton",2020,2.34724983432737
"Clinton",2021,2.37071860308932
"Clinton",2022,2.247997436719
"Crawford",2009,0.679310344827586
"Crawford",2010,0.636363636363636
"Crawford",2011,0.735768500948767
"Crawford",2012,0.684494382022472
"Crawford",2019,1.48236514522822
"Crawford",2020,1.47573333333333
"Crawford",2021,1.86185567010309
"Crawford",2022,1.62944785276074
"Dallas",2009,0.542564102564103
"Dallas",2010,0.197781299524564
"Dallas",2011,0.194915254237288
"Dallas",2012,0.182203389830508
"Dallas",2019,4.82327790973872
"Dallas",2020,5.5863280194542
"Dallas",2021,5.56054737929254
"Dallas",2022,4.7723090092018
"Davis",2009,0
"Davis",2010,0
"Davis",2011,0
"Davis",2012,0
"Davis",2019,1.88615384615385
"Davis",2020,1.97712418300654
"Davis",2021,2.20071684587814
"Davis",2022,2.24489795918367
"Decatur",2009,1.85594639865997
"Decatur",2010,1.67913669064748
"Decatur",2011,1.60869565217391
"Decatur",2012,1.6965620328849
"Decatur",2019,1.68118466898955
"Decatur",2020,1.615
"Decatur",2021,1.83738317757009
"Decatur",2022,1.54375
"Delaware",2009,1.47255113024758
"Delaware",2010,1.35532994923858
"Delaware",2011,1.23352165725047
"Delaware",2012,1.25241779497099
"Delaware",2019,2.83866481223922
"Delaware",2020,2.87672811059908
"Delaware",2021,3.13858267716535
"Delaware",2022,2.86510263929619
"Des Moines",2009,0.76629517055049
"Des Moines",2010,0.715894868585732
"Des Moines",2011,0.704280155642023
"Des Moines",2012,0.677053824362606
"Des Moines",2019,1.84396497811132
"Des Moines",2020,2.03036798856735
"Des Moines",2021,2.13313609467456
"Des Moines",2022,1.92842465753425
"Dickinson",2009,1.91027308192458
"Dickinson",2010,1.87535410764873
"Dickinson",2011,1.87623066104079
"Dickinson",2012,0.4765625
"Dickinson",2019,2.78144989339019
"Dickinson",2020,3.35018963337547
"Dickinson",2021,3.51128818061089
"Dickinson",2022,3.09873708381171
"Dubuque",2009,0
"Dubuque",2010,0
"Dubuque",2011,0
"Dubuque",2012,0
"Dubuque",2019,2.6819711062735
"Dubuque",2020,2.64908120924718
"Dubuque",2021,2.76617123717815
"Dubuque",2022,2.70024620434961
"Emmet",2009,0.427461139896373
"Emmet",2010,0.46013986013986
"Emmet",2011,0.446979865771812
"Emmet",2012,0.302739726027397
"Emmet",2019,2.02072538860104
"Emmet",2020,1.83516483516484
"Emmet",2021,1.95306388526728
"Emmet",2022,1.90275952693824
"Fayette",2009,1.59130434782609
"Fayette",2010,1.47731629392971
"Fayette",2011,1.39350405996252
"Fayette",2012,1.34769230769231
"Fayette",2019,1.94088050314465
"Fayette",2020,2.10797799174691
"Fayette",2021,2.23652048885694
"Fayette",2022,2.03127035830619
"Floyd",2009,0.942798774259448
"Floyd",2010,0.922998986828774
"Floyd",2011,0.540983606557377
"Floyd",2012,0.510835913312694
"Floyd",2019,1.88636363636364
"Floyd",2020,1.92957746478873
"Floyd",2021,1.94450154162384
"Floyd",2022,1.83366533864542
"Franklin",2009,0.787804878048781
"Franklin",2010,0.765116279069767
"Franklin",2011,0.957224334600761
"Franklin",2012,0.319562575941677
"Franklin",2019,1.61910377358491
"Franklin",2020,1.66035353535354
"Franklin",2021,1.71483375959079
"Franklin",2022,1.77377892030848
"Fremont",2009,2.4464609800363
"Fremont",2010,2.27022375215146
"Fremont",2011,2.22735042735043
"Fremont",2012,2.16666666666667
"Fremont",2019,2.16564417177914
"Fremont",2020,2.43089430894309
"Fremont",2021,2.25708061002179
"Fremont",2022,2.11405295315682
"Greene",2009,0.759112519809826
"Greene",2010,0.581395348837209
"Greene",2011,0.567200986436498
"Greene",2012,0.602331606217617
"Greene",2019,2.05777777777778
"Greene",2020,2.0855365474339
"Greene",2021,2.26825127334465
"Greene",2022,2.12559618441971
"Grundy",2009,3.98050974512744
"Grundy",2010,4.15757575757576
"Grundy",2011,4.07027818448023
"Grundy",2012,3.57766367137356
"Grundy",2019,3.50748299319728
"Grundy",2020,3.74411764705882
"Grundy",2021,3.83358098068351
"Grundy",2022,3.54834254143646
"Guthrie",2009,2.84623773173392
"Guthrie",2010,2.7489539748954
"Guthrie",2011,2.47910592808552
"Guthrie",2012,2.70031545741325
"Guthrie",2019,2.39827771797632
"Guthrie",2020,2.46335963923337
"Guthrie",2021,2.72125
"Guthrie",2022,2.5249406175772
"Hamilton",2009,1.12182203389831
"Hamilton",2010,1.00366972477064
"Hamilton",2011,0.872573839662447
"Hamilton",2012,0.862679022746419
"Hamilton",2019,2.10876897133221
"Hamilton",2020,2.24309392265193
"Hamilton",2021,2.92671394799054
"Hamilton",2022,2.26281453867661
"Hancock",2009,2.88403361344538
"Hancock",2010,2.87722132471729
"Hancock",2011,2.73961661341853
"Hancock",2012,2.86153846153846
"Hancock",2019,3.01411290322581
