Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/taxa/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=primates&rank=species&show=class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Fri 2023-03-03 21:19:12 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,primates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rank,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,ref_author,ref_pubyr,reference_no,is_extant,n_occs,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,primary_reference
90336,90336,txn,,species,Saharagalago misrensis,,90336,species,Saharagalago misrensis,90335,Seiffert et al.,2003,19346,extinct,1,Chordata,Mammalia,Primates,Galagidae,Saharagalago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"E. R. Seiffert, E. L. Simons, and Y. Attia. 2003. Fossil evidence for an ancient divergence of lorises and galagos. Nature 422:421-424"
385872,390177,txn,,species,Sciurocheirus gabonensis,,385872,species,Sciurocheirus gabonensis,390174,Gray,1863,68700,extant,0,Chordata,Mammalia,Primates,Galagidae,Sciurocheirus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"J.E. Gray. 1863. Revision of the species of lemuroid animals, with the description of some new species\r\n. Proceedings of the Zoological Society of London\r\n 1863:129-152"
390180,390181,txn,,species,Sciurocheirus cameronensis,,390180,species,Sciurocheirus cameronensis,390174,Peters,1876,69548,extant,0,Chordata,Mammalia,Primates,Galagidae,Sciurocheirus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,W. Peters. 1876. Monatsberichte der Königlichen Preussische Akademie des Wissenschaften zu Berlin
232724,390179,txn,,species,Sciurocheirus alleni,,232724,species,Sciurocheirus alleni,390174,Burgin et al.,2018,68855,extant,0,Chordata,Mammalia,Primates,Galagidae,Sciurocheirus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. J. Burgin, J. P. Colella, and P. L. Kahn, N. S. Upham. 2018. How many species of mammals are there?. Journal of Mammalogy 99(1):1-14"
390175,390175,txn,,species,Sciurocheirus makandensis,,390175,species,Sciurocheirus makandensis,390174,Ambrose,2013,69545,extant,0,Chordata,Mammalia,Primates,Galagidae,Sciurocheirus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"L. Ambrose. 2013. Scirocheirus makandensis—Makande squirrel galago\r\n.  In T. M. Butynski, J. Kingdon, J. Kalina (eds.), Mammals of Africa II:421-422"
385146,385147,txn,,species,Euoticus pallidus,,385146,species,Euoticus pallidus,238591,Gray,1863,68700,extant,0,Chordata,Mammalia,Primates,Galagidae,Euoticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"J.E. Gray. 1863. Revision of the species of lemuroid animals, with the description of some new species\r\n. Proceedings of the Zoological Society of London\r\n 1863:129-152"
238586,238589,txn,,species,Euoticus elegantulus,,238586,species,Euoticus elegantulus,238591,Sanderson,1940,41848,extant,0,Chordata,Mammalia,Primates,Galagidae,Euoticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,I. T. Sanderson. 1940. The Mammals of the North Cameroons Forest Area. Being the Results of the Percy Sladen Expedition to the Mamfe Division of the British Cameroons. Transactions of the Zoological Society of London 24(7):623-725
430623,430623,txn,,species,Otolemur howelli,,430623,species,Otolemur howelli,121441,Harrison,2010,68722,extinct,0,Chordata,Mammalia,Primates,Galagidae,Otolemur,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
385165,385166,txn,,species,Otolemur garnettii,,385165,species,Otolemur garnettii,121441,Ogilby,1838,68710,extant,0,Chordata,Mammalia,Primates,Galagidae,Otolemur,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,W. Ogilby. 1838. Proceedings of the Zoological Society of London.
385845,385846,txn,,species,Otolemur monteiri,,385845,species,Otolemur monteiri,121441,Wilson and Reeder,2005,30426,extant,0,Chordata,Mammalia,Primates,Galagidae,Otolemur,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,D. E. Wilson and D. M. Reeder. 2005. Mammal species of the world : a taxonomic and geographic reference
