identified_name,identified_rank,difference,accepted_name,accepted_rank,max_ma,min_ma,family,genus,lng,lat,primary_reference
Elphidotarsius russelli,species,NA,Elphidotarsius russelli,species,61.7,56.8,Carpolestidae,Elphidotarsius,-109.900002,46.200001,"M. T. Silcox, D. W. Krause, and M. C. Maas, R. C. Fox. 2001. New specimens of Elphidotarsius russelli (Mammalia, ?Primates, Carpolestidae) and a revision of plesiadapoid relationships. Journal of Vertebrate Paleontology 21(1):132-152"
Elphidotarsius russelli,species,NA,Elphidotarsius russelli,species,61.7,56.8,Carpolestidae,Elphidotarsius,-109.800003,45.799999,"M. T. Silcox, D. W. Krause, and M. C. Maas, R. C. Fox. 2001. New specimens of Elphidotarsius russelli (Mammalia, ?Primates, Carpolestidae) and a revision of plesiadapoid relationships. Journal of Vertebrate Paleontology 21(1):132-152"
Elphidotarsius russelli,species,NA,Elphidotarsius russelli,species,61.7,56.8,Carpolestidae,Elphidotarsius,-114.433334,51.183334,"M. T. Silcox, D. W. Krause, and M. C. Maas, R. C. Fox. 2001. New specimens of Elphidotarsius russelli (Mammalia, ?Primates, Carpolestidae) and a revision of plesiadapoid relationships. Journal of Vertebrate Paleontology 21(1):132-152"
Elwynella oreas,species,NA,Elwynella oreas,species,50.3,46.2,Paromomyidae,Elwynella,-108.699997,43.700001,K. D. Rose and T. M. Bown. 1982. New Plesiadapiform Primates from the Eocene of Wyoming and Montana. Journal of Vertebrate Paleontology 2(1):63-69
Elwynella oreas,species,NA,Elwynella oreas,species,50.3,46.2,Paromomyidae,Elwynella,-108.699997,43.700001,K. D. Rose and T. M. Bown. 1982. New Plesiadapiform Primates from the Eocene of Wyoming and Montana. Journal of Vertebrate Paleontology 2(1):63-69
Haplomylus speirianus,species,recombined as,Microsyops speirianus,species,55.8,50.3,Microsyopidae,Microsyops,-106.599998,44,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
Haplomylus speirianus,species,recombined as,Microsyops speirianus,species,55.8,50.3,Microsyopidae,Microsyops,-106.599998,44,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
Ignacius frugivorus,species,NA,Ignacius frugivorus,species,61.7,56.8,Paromomyidae,Ignacius,-102.748001,49.063999,D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15
Ignacius frugivorus,species,NA,Ignacius frugivorus,species,61.7,56.8,Paromomyidae,Ignacius,-109,41.700001,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
Jemezius szalayi,species,NA,Jemezius szalayi,species,55.8,50.3,Omomyidae,Jemezius,-107,35.700001,"K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
Loveina wapitiensis,species,NA,Loveina wapitiensis,species,55.8,50.3,Omomyidae,Loveina,-109,44.299999,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
Macrotarsius jepseni,species,NA,Macrotarsius jepseni,species,46.2,40.4,Omomyidae,Macrotarsius,-109.699997,40.066666,"L. Krishtalka. 1978. Paleontology and geology of the Badwater Creek area, central Wyoming\r\nPart 15. Review of the late Eocene primates from Wyoming and Utah,\r\nand the Plesitarsiiformes. Annals of Carnegie Museum 47(15):335-360"
Macrotarsius montanus,species,NA,Macrotarsius montanus,species,40.4,37.2,Omomyidae,Macrotarsius,-107.900002,50,"J. E. Storer. 1990. Primates of the Lac Pelletier Lower Fauna (Eocene: Duchesnean), Saskatchewan. Canadian Journal of Earth Sciences 27"
