identified_name,identified_rank,difference,accepted_name,accepted_rank,max_ma,min_ma,family,genus,lng,lat,primary_reference
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109,41.700001,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109,41.700001,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109,41.700001,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109,41.700001,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-109,44.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-109,44.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-109,44.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-109,44.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-109,44.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Pronothodectes jepi,species,NA,Pronothodectes jepi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109,44.299999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes jepi,species,NA,Pronothodectes jepi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109,44.299999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes jepi,species,NA,Pronothodectes jepi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109,44.299999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes jepi,species,NA,Pronothodectes jepi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109,44.299999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes jepi,species,NA,Pronothodectes jepi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109,44.299999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes matthewi,species,NA,Pronothodectes matthewi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes matthewi,species,NA,Pronothodectes matthewi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes matthewi,species,NA,Pronothodectes matthewi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes matthewi,species,NA,Pronothodectes matthewi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Pronothodectes matthewi,species,NA,Pronothodectes matthewi,species,63.3,61.7,Plesiadapidae,Pronothodectes,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Shoshonius bowni,species,NA,Shoshonius bowni,species,50.3,46.2,Omomyidae,Shoshonius,-108.699997,43.700001,"J. G. Honey. 1990. New Washakiin Primates (Omomyidae) from the Eocene of Wyoming and Colorado, and Comments on the Evolution of the Washakiini. Journal of Vertebrate Paleontology 10(2)"
Shoshonius bowni,species,NA,Shoshonius bowni,species,50.3,46.2,Omomyidae,Shoshonius,-108.699997,43.700001,"J. G. Honey. 1990. New Washakiin Primates (Omomyidae) from the Eocene of Wyoming and Colorado, and Comments on the Evolution of the Washakiini. Journal of Vertebrate Paleontology 10(2)"
Shoshonius bowni,species,NA,Shoshonius bowni,species,50.3,46.2,Omomyidae,Shoshonius,-108.699997,43.700001,"J. G. Honey. 1990. New Washakiin Primates (Omomyidae) from the Eocene of Wyoming and Colorado, and Comments on the Evolution of the Washakiini. Journal of Vertebrate Paleontology 10(2)"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Strigorhysis bridgerensis,species,NA,Strigorhysis bridgerensis,species,50.3,46.2,Omomyidae,Strigorhysis,-108.699997,43.700001,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Strigorhysis bridgerensis,species,NA,Strigorhysis bridgerensis,species,50.3,46.2,Omomyidae,Strigorhysis,-108.699997,43.700001,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Strigorhysis bridgerensis,species,NA,Strigorhysis bridgerensis,species,50.3,46.2,Omomyidae,Strigorhysis,-108.699997,43.700001,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Strigorhysis bridgerensis,species,NA,Strigorhysis bridgerensis,species,50.3,46.2,Omomyidae,Strigorhysis,-108.699997,43.700001,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Strigorhysis bridgerensis,species,NA,Strigorhysis bridgerensis,species,50.3,46.2,Omomyidae,Strigorhysis,-108.699997,43.700001,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Uintasorex parvulus,species,NA,Uintasorex parvulus,species,50.3,46.2,Microsyopidae,Uintasorex,-109.900002,40.200001,"F. S. Szalay. 1969. Uintasoricinae, a new subfamily of early Tertiary mammals (?Primates). American Museum Novitates 2363"
Uintasorex parvulus,species,NA,Uintasorex parvulus,species,50.3,46.2,Microsyopidae,Uintasorex,-109.900002,40.200001,"F. S. Szalay. 1969. Uintasoricinae, a new subfamily of early Tertiary mammals (?Primates). American Museum Novitates 2363"
Uintasorex parvulus,species,NA,Uintasorex parvulus,species,50.3,46.2,Microsyopidae,Uintasorex,-109.900002,40.200001,"F. S. Szalay. 1969. Uintasoricinae, a new subfamily of early Tertiary mammals (?Primates). American Museum Novitates 2363"
Washakius insignis,species,NA,Washakius insignis,species,50.3,46.2,Omomyidae,Washakius,-109.349998,42.416668,J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733
Washakius insignis,species,NA,Washakius insignis,species,50.3,46.2,Omomyidae,Washakius,-109.349998,42.416668,J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733
Washakius insignis,species,NA,Washakius insignis,species,50.3,46.2,Omomyidae,Washakius,-109.349998,42.416668,J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-114.433334,51.183334,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-106.466667,41.916668,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-106.466667,41.916668,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus lepidus,species,NA,Picrodus lepidus,species,61.7,56.8,Picrodontidae,Picrodus,-113.76667,52.349998,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus,genus,NA,Picrodus,genus,61.7,56.8,Picrodontidae,Picrodus,-110.699997,41.799999,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus,genus,NA,Picrodus,genus,61.7,56.8,Picrodontidae,Picrodus,-110.699997,41.799999,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus,genus,NA,Picrodus,genus,61.7,56.8,Picrodontidae,Picrodus,-113.599998,52.200001,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Picrodus,genus,NA,Picrodus,genus,61.7,56.8,Picrodontidae,Picrodus,-112.300003,51.5,C. S. Scott and R. C. Fox. 2005. Windows on the evolution of Picrodus (Plesiadapiformes: Primates): morphology and relationships of a species complex from the Paleocene of Alberta. Journal of Paleontology 79(4):635-657
Teilhardina brandti,species,NA,Teilhardina brandti,species,55.8,50.3,Omomyidae,Teilhardina,-109,44.299999,"P. D. Gingerich. 1993. Early Eocene Teilhardina brandti: oldest omomyid primate from North America. Contributions from the Museum of Paleontology, University of Michigan 28(13):321-326"
Torrejonia sirokyi,species,NA,Torrejonia sirokyi,species,61.7,56.8,Palaechthonidae,Plesiolestes,-110.683334,41.583332,"C. L. Gazin. 1969. A new occurrence of Paleocene mammals in the Evanston Formation, southwestern Wyoming. Smithsonian Contributions to Paleobiology 2:1-16"
Nannodectes intermedius,species,NA,Nannodectes intermedius,species,61.7,56.8,Plesiadapidae,Nannodectes,-110.683334,41.583332,"C. L. Gazin. 1969. A new occurrence of Paleocene mammals in the Evanston Formation, southwestern Wyoming. Smithsonian Contributions to Paleobiology 2:1-16"
Nannodectes intermedius,species,NA,Nannodectes intermedius,species,61.7,56.8,Plesiadapidae,Nannodectes,-110.683334,41.583332,"C. L. Gazin. 1969. A new occurrence of Paleocene mammals in the Evanston Formation, southwestern Wyoming. Smithsonian Contributions to Paleobiology 2:1-16"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Smilodectes mcgrewi,species,NA,Smilodectes mcgrewi,species,50.3,46.2,Notharctidae,Smilodectes,-105.099998,37.799999,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
