accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Acidomomys hebeticus,Acidomomys hebeticus,species,NA,species,56.8,55.8,Paromomyidae,Acidomomys,-109,44.299999,"J. I. Bloch, D. M. Boyer, and P. D. Gingerich, G. F. Gunnell. 2002. New primitive paromomyid from the Clarkforkian of Wyoming and dental eruption in Plesiadapiformes. Journal of Vertebrate Paleontology 22(2):366-379",Acidomomys hebeticus,NA,species,extinct,Paromomyidae,Acidomomys,"J. I. Bloch, D. M. Boyer, and P. D. Gingerich, G. F. Gunnell. 2002. New primitive paromomyid from the Clarkforkian of Wyoming and dental eruption in Plesiadapiformes. Journal of Vertebrate Paleontology 22(2):366-379"
Acrecebus fraileyi,Acrecebus fraileyi,species,NA,species,9,6.8,Cebidae,Acrecebus,-69.833336,-10.833333,"R. F. Kay and C. D. Frailey. 1993. Large fossil platyrrhines from the Rio Acre local fauna, late Miocene, western Amazonia. Journal of Human Evolution 25:319-327",Acrecebus fraileyi,NA,species,extinct,Cebidae,Acrecebus,"R. F. Kay and M. A. Cozzuol. 2006. New platyrrhine monkeys from the Solimoes Formation (late Miocene, Acre State, Brazil). Journal of Human Evolution 50(6):673-686"
Acrecebus fraileyi,Acrecebus fraileyi,species,NA,species,11.62,7.246,Cebidae,Acrecebus,-66.87944,-10.116389,"R. F. Kay and M. A. Cozzuol. 2006. New platyrrhine monkeys from the Solimoes Formation (late Miocene, Acre State, Brazil). Journal of Human Evolution 50(6):673-686",Acrecebus fraileyi,NA,species,extinct,Cebidae,Acrecebus,"R. F. Kay and M. A. Cozzuol. 2006. New platyrrhine monkeys from the Solimoes Formation (late Miocene, Acre State, Brazil). Journal of Human Evolution 50(6):673-686"
Aegyptopithecus zeuxis,Aegyptopithecus zeuxis,species,NA,species,NA,NA,Propliopithecidae,Aegyptopithecus,NA,NA,"E. L. Simons. 1997. Preliminary description of the cranium of Proteopithecus sylviae, an Egyptian late Eocene anthropoidean primate. Proceedings of the National Academy of Sciences 94:14970-14975",Aegyptopithecus zeuxis,NA,species,extinct,Propliopithecidae,Aegyptopithecus,E. L. Simons. 1965. New fossil apes from Egypt and the initial differentiation of Hominoidea. Nature 205:135-139
Ageitodendron matthewi,Ageitodendron matthewi,species,NA,species,50.3,46.2,Omomyidae,Ageitodendron,-110.5,41.200001,"G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28",Ageitodendron matthewi,NA,species,extinct,Omomyidae,Ageitodendron,"G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28"
Alouatta belzebul,Alouatta belzebul,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,H. M. Pucciarelli and W. A. Neves. 1992. Reliability of intrafunctional indices for correcting size in cranial comparisons of New World primates. Ciéncia e Cultura 44(1):29-34,Alouatta belzebul,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,R. J. Smith and W. L. Jungers. 1997. Body mass in comparative primatology. Journal of Human Evolution 32:523-559,Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
