accepted_name,suborder,infraorder,family ,citation
Ekembo nyanzae,haplorhini ,simiiformes,proconsulidae,"Le Gros Clark & Leakey, 1950"
Proconsul africanus ,haplorhini ,simiiformes,proconsulidae,"Hopwood, 1933"
Proconsul gitongai ,haplorhini ,simiiformes,proconsulidae,"Pickford and Kunimatsu, 2005"
Proconsul major,haplorhini ,simiiformes,proconsulidae,"Le Gros Clark & Leakey, 1950"
Proconsul meswae ,haplorhini ,simiiformes,proconsulidae,"Harrison and Andrews, 2009"
Nyanzapithecus alesi ,haplorhini ,simiiformes,dendropithecidae,"Nengo, Tafforeau, Gilbert, Fleagle, Miller, Feibel, Fox, Feinberg, Pugh, Berruyer, Mana, Engle, Spoor, 2017"
Nyanzapithecus harrisoni ,haplorhini ,simiiformes,dendropithecidae,"Kunimatsu, 1997"
Nyanzapithecus pickfordi ,haplorhini ,simiiformes,dendropithecidae,"Harrison, 1986"
Nyanzapithecus vancouveringorum ,haplorhini ,simiiformes,dendropithecidae,"Andrews, 1974"
Mabokopithecus clarki ,haplorhini ,simiiformes,dendropithecidae,"von Koenigswald, 1969"
Oreopithecus bamboli ,haplorhini ,simiiformes,dendropithecidae,"Gervais, 1872"
Rukwapithecus fleaglei ,haplorhini ,simiiformes,dendropithecidae,"Stevens et al., 2013"
Rangwapithecus gordoni ,haplorhini ,simiiformes,dendropithecidae,"Andrews, 1974"
Turkanapithecus kalakolensis ,haplorhini ,simiiformes,dendropithecidae,"Leakey & Leakey, 1986"
Pliobates cataloniae ,haplorhini ,simiiformes,pliobatidae,"Alba et al., 2015"
Griphopithecus alpani ,haplorhini ,simiiformes,afropithecidae,"Tekkaya, 1974"
Griphopithecus suessi ,haplorhini ,simiiformes,afropithecidae,"Abel, 1902"
Afropithecus turkanensis ,haplorhini ,simiiformes,afropithecidae,"Leakey & Leakey, 1986"
Heliopithecus leakeyi ,haplorhini ,simiiformes,afropithecidae,"Andrews & Martin, 1987"
Nacholapithecus kerioi,haplorhini ,simiiformes,afropithecidae," Ishida et al., 1999"
Equatorius africanus ,haplorhini ,simiiformes,afropithecidae,"Le Gros Clark and Leaky, 1950"
Kenyapithecus wickeri ,haplorhini ,simiiformes,hominidae ,"Leakey, 1962"
Sivapithecus indicus ,haplorhini ,simiiformes,hominidae ,"Pilgrim, 1910"
Sivapithecus parvada ,haplorhini ,simiiformes,hominidae ,"Kelley, 1988"
Sivapithecus sivalensis ,haplorhini ,simiiformes,hominidae ,"Lydekker, 1879"
Gigantopithecus blacki ,haplorhini ,simiiformes,hominidae ,"von Koenigswald, 1935"
Gigantopithecus giganteus ,haplorhini ,simiiformes,hominidae ,"Pilgrim, 1915"
Ankarapithecus meteai ,haplorhini ,simiiformes,hominidae ,"Ozansoy, 1965"
Lufengpithecus chiangmuanensis ,haplorhini ,simiiformes,hominidae ,"Chaimanee et al., 2003"
Lufengpithecus hudiensis ,haplorhini ,simiiformes,hominidae ,"Zhang et al., 1987"
Lufengpithecus keiyuanensis ,haplorhini ,simiiformes,hominidae ,"Woo, 1957"
Lufengpithecus lufengensis ,haplorhini ,simiiformes,hominidae ,"Xu et al., 1978"
Ouranopithecus macedoniensis ,haplorhini ,simiiformes,hominidae ,"Bonis & Melentis, 1977"
Rudapithecus hungaricus ,haplorhini ,simiiformes,hominidae ,"Kretzoi, 1969"
Hispanopithecus laietanus ,haplorhini ,simiiformes,hominidae ,"Villalta & Crusafont, 1944"
Hispanopithecus crusafonti ,haplorhini ,simiiformes,hominidae ,"Begun, 1992"
Pierolapithecus catalaunicus ,haplorhini ,simiiformes,hominidae ,"Moyà-Solà, 2004"
Anoiapithecus brevirostris,haplorhini ,simiiformes,hominidae ,"Moyà-Solà et al., 2009"
Dryopithecus wuduensis ,haplorhini ,simiiformes,hominidae ,"Xue & Delson, 1988"
Dryopithecus fontani ,haplorhini ,simiiformes,hominidae ,"Lartet, 1856"
Nakalipthecus nakayamai ,haplorhini ,simiiformes,hominidae ,Kunimatsu et al. 2007
Neopithecus brancoi ,haplorhini ,simiiformes,hominidae ,"Schlosser, 1901"
Samburupithecus kiptalami ,haplorhini ,simiiformes,hominidae ,"Ishida & Pickford, 1997"
Chororapithecus abyssinicus ,haplorhini ,simiiformes,hominidae ,"Suwa et al., 2007"
Graecopithecus freybergi ,haplorhini ,simiiformes,hominidae ,"von Koenigswald, 1972"
Sahelanthropus tchadensis,haplorhini ,simiiformes,hominidae ,"Brunet et al., 2002"
Orrorin tugenensis,haplorhini ,simiiformes,hominidae ,"Senut et al., 2001"
Ardipithecus ramidus ,haplorhini ,simiiformes,hominidae ,"White et al., 1994"
Ardipithecus kadabba,haplorhini ,simiiformes,hominidae ,"White et al., 1994"
Australopithecus anamensis ,haplorhini ,simiiformes,hominidae ,"Leakey et al., 1995"
Australopithecus afarensis ,haplorhini ,simiiformes,hominidae ,"Johanson et al., 1978"
Australopithecus bahrelghazali ,haplorhini ,simiiformes,hominidae ,"Brunet et al., 1995"
Australopithecus africanus ,haplorhini ,simiiformes,hominidae ,"Dart, 1925"
Australopithecus garhi ,haplorhini ,simiiformes,hominidae ,"Asfaw et al., 1999"
Australopithecus sediba,haplorhini ,simiiformes,hominidae ,"Berger et al., 2010"
Paranthropus aethiopicus ,haplorhini ,simiiformes,hominidae ,"Arambourg & Coppens, 1968"
Paranthropus boisei ,haplorhini ,simiiformes,hominidae ,"Leakey, 1959"
Paranthropus robustus ,haplorhini ,simiiformes,hominidae ,"Broom, 1938"
Homo gautengensis ,haplorhini ,simiiformes,hominidae ,"Curnoe, 2010"
Homo rudolfensis ,haplorhini ,simiiformes,hominidae ,"Alexeev, 1986"
Homo habilis ,haplorhini ,simiiformes,hominidae ,"Leakey et al., 1964"
Homo luzonensis ,haplorhini ,simiiformes,hominidae ,"Détroit et al., 2019"
Homo erectus ,haplorhini ,simiiformes,hominidae ,"Dubois, 1892"
Homo floresiensis ,haplorhini ,simiiformes,hominidae ,"P. Brown et al., 2004"
Homo ergaster ,haplorhini ,simiiformes,hominidae ,"Groves & Mazak, 1975"
Homo antecessor,haplorhini ,simiiformes,hominidae ,"Bermúdez de Castro et al., 1997"
Homo heidelbergensis,haplorhini ,simiiformes,hominidae ,"Schoetensack, 1908"
Homo cepranensis,haplorhini ,simiiformes,hominidae ,"Mallegni et al., 2003"
Homo neanderthalensis,haplorhini ,simiiformes,hominidae ,"King, 1864"
Homo rhodesiensis ,haplorhini ,simiiformes,hominidae ,"Woodward, 1921"
Homo naledi,haplorhini ,simiiformes,hominidae ,"Berger et al., 2015"
Kenyanthropus platyops ,haplorhini ,simiiformes,hominidae ,"Leakey et al., 2001"
