accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no.x,accepted_rank,parent_no,ref_pubyr,reference_no.x,is_extant,n_occs,family,genus,primary_reference,specimen_no,is_type,accepted_no.y,max_ma,min_ma,reference_no.y,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4347,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4346,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4349,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4348,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",9,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4350,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidomomys hebeticus,43719,43719,Acidomomys hebeticus,NA,43719,species,40313,2002,6716,extinct,1,Paromomyidae,Acidomomys,"J. I. Bloch, D. M. Boyer, and P. D. Gingerich, G. F. Gunnell. 2002. New primitive paromomyid from the Clarkforkian of Wyoming and dental eruption in Plesiadapiformes. Journal of Vertebrate Paleontology 22(2):366-379",17,holotype,43719,56.8,55.8,6716,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
Acrecebus fraileyi,248947,248947,Acrecebus fraileyi,NA,248947,species,248946,2006,43303,extinct,3,Cebidae,Acrecebus,"R. F. Kay and M. A. Cozzuol. 2006. New platyrrhine monkeys from the Solimoes Formation (late Miocene, Acre State, Brazil). Journal of Human Evolution 50(6):673-686",98472,NA,248947,9,6.8,43310,-69.833336,-10.833333,BO,Pando,"Cachuela Bandeira, Rio Acre",stated in text,minutes,outcrop,"LACM 134800 comes from LACM locality 5158, Cachuela Bandeira, Rio Acre, Pando, Bolivia."
Acrecebus fraileyi,248947,248947,Acrecebus fraileyi,NA,248947,species,248946,2006,43303,extinct,3,Cebidae,Acrecebus,"R. F. Kay and M. A. Cozzuol. 2006. New platyrrhine monkeys from the Solimoes Formation (late Miocene, Acre State, Brazil). Journal of Human Evolution 50(6):673-686",98303,NA,248947,11.62,7.246,43303,-66.87944,-10.116389,BR,Acre,NA,estimated from map,seconds,local area,"This is a very large area, and needs to be split up. See Cozzuol 2006."
Aegyptopithecus zeuxis,100577,100577,Aegyptopithecus zeuxis,NA,100577,species,92594,1965,24335,extinct,2,Propliopithecidae,Aegyptopithecus,E. L. Simons. 1965. New fossil apes from Egypt and the initial differentiation of Hominoidea. Nature 205:135-139,77065,NA,100577,NA,NA,42182,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ageitodendron matthewi,43807,43807,Ageitodendron matthewi,NA,43807,species,40795,1995,1732,extinct,1,Omomyidae,Ageitodendron,"G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28",63,holotype,43807,50.3,46.2,1732,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,small collection,NA
Alouatta belzebul,232534,232535,Alouatta belzebul,NA,232534,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",73547,NA,232534,NA,NA,42010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62804,NA,232532,NA,NA,41346,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62805,NA,232532,NA,NA,41346,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62806,NA,232532,NA,NA,41346,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62803,NA,232532,NA,NA,41346,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62807,NA,232532,NA,NA,41346,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62863,NA,232532,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,232532,232533,Alouatta caraya,NA,232532,species,92602,1999,41241,extant,0,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",62860,NA,232532,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta mauroi,251835,251835,Alouatta mauroi,NA,251835,species,92602,2008,43739,extinct,1,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",103872,holotype,251835,0.126,0,43739,-41.519722,-10.976111,BR,Bahia,Morro do Chapeu,estimated from map,seconds,local area,This cave is located ca. 300m NW of Vila dos Brejoes da Gruta.
Alouatta mauroi,251835,251835,Alouatta mauroi,NA,251835,species,92602,2008,43739,extinct,1,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",103868,holotype,251835,0.126,0,43739,-41.519722,-10.976111,BR,Bahia,Morro do Chapeu,estimated from map,seconds,local area,This cave is located ca. 300m NW of Vila dos Brejoes da Gruta.
Alouatta mauroi,251835,251835,Alouatta mauroi,NA,251835,species,92602,2008,43739,extinct,1,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",103870,holotype,251835,0.126,0,43739,-41.519722,-10.976111,BR,Bahia,Morro do Chapeu,estimated from map,seconds,local area,This cave is located ca. 300m NW of Vila dos Brejoes da Gruta.
Alouatta mauroi,251835,251835,Alouatta mauroi,NA,251835,species,92602,2008,43739,extinct,1,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",103871,holotype,251835,0.126,0,43739,-41.519722,-10.976111,BR,Bahia,Morro do Chapeu,estimated from map,seconds,local area,This cave is located ca. 300m NW of Vila dos Brejoes da Gruta.
Alouatta mauroi,251835,251835,Alouatta mauroi,NA,251835,species,92602,2008,43739,extinct,1,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",103869,holotype,251835,0.126,0,43739,-41.519722,-10.976111,BR,Bahia,Morro do Chapeu,estimated from map,seconds,local area,This cave is located ca. 300m NW of Vila dos Brejoes da Gruta.
