specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
7004,,Ignacius graybullianus,47354,55.8,50.3,2971,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
7005,,Ignacius graybullianus,47354,55.8,50.3,2971,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
7033,holotype,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
7034,holotype,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
7035,holotype,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
7036,holotype,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
7037,holotype,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
7327,,Macrotarsius siegerti,47855,,,2923,,,,,,,,,
7328,,Macrotarsius siegerti,47855,,,2923,,,,,,,,,
7329,,Macrotarsius siegerti,47855,,,2923,,,,,,,,,
7330,holotype,Mahgarita stevensi,47893,40.4,37.2,37090,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,
7331,holotype,Mahgarita stevensi,47893,40.4,37.2,37090,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,
7332,holotype,Mahgarita stevensi,47893,40.4,37.2,37090,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,
7333,,Mahgarita stevensi,47893,40.4,37.2,37090,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,
7375,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
7376,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
7377,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
7378,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
7379,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
7736,holotype,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
7737,holotype,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
7738,holotype,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
7739,holotype,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
7740,holotype,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
7767,,Microsyops angustidens,45481,,,1728,,,,,,,,,
7768,,Microsyops angustidens,45481,,,1728,,,,,,,,,
7769,,Microsyops angustidens,45481,,,1728,,,,,,,,,
7770,,Microsyops angustidens,45481,,,1728,,,,,,,,,
7771,,Microsyops angustidens,45481,,,1728,,,,,,,,,
7772,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7773,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7774,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7775,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7776,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7777,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7778,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7779,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7780,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7781,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7782,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7783,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7784,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7785,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7786,,Microsyops angustidens,45481,,,1730,,,,,,,,,
7787,,Microsyops annectens,44474,,,3262,,,,,,,,,
7788,,Microsyops annectens,44474,,,3262,,,,,,,,,
7789,,Microsyops annectens,44474,,,3262,,,,,,,,,
7790,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
7791,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
7792,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
7793,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
7794,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
7795,,Microsyops elegans,47707,,,3596,,,,,,,,,
7796,,Microsyops elegans,47707,,,3596,,,,,,,,,
7797,,Microsyops elegans,47707,,,3596,,,,,,,,,
7798,,Microsyops elegans,47707,,,1730,,,,,,,,,
7799,,Microsyops elegans,47707,,,1730,,,,,,,,,
7800,,Microsyops elegans,47707,,,1730,,,,,,,,,
7801,,Microsyops elegans,47707,,,1730,,,,,,,,,
7802,,Microsyops elegans,47707,,,1730,,,,,,,,,
7803,,Microsyops elegans,47707,,,1730,,,,,,,,,
7804,,Microsyops elegans,47707,,,1730,,,,,,,,,
7805,,Microsyops elegans,47707,,,1730,,,,,,,,,
7806,,Microsyops elegans,47707,,,1730,,,,,,,,,
7807,,Microsyops elegans,47707,,,1730,,,,,,,,,
7808,,Microsyops elegans,47707,,,1737,,,,,,,,,
7809,,Microsyops elegans,47707,,,1737,,,,,,,,,
7810,,Microsyops elegans,47707,,,1737,,,,,,,,,
7811,,Microsyops elegans,47707,,,1737,,,,,,,,,
7812,,Microsyops elegans,47707,,,1737,,,,,,,,,
7813,,Microsyops knightensis,45482,,,1730,,,,,,,,,
7814,,Microsyops knightensis,45482,,,1730,,,,,,,,,
7815,,Microsyops knightensis,45482,,,1730,,,,,,,,,
7816,,Microsyops knightensis,45482,,,1730,,,,,,,,,
7817,,Microsyops knightensis,45482,,,1730,,,,,,,,,
7818,,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
7819,,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
7820,,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
7821,,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
7822,,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
7823,,Microsyops latidens,45483,,,1730,,,,,,,,,
7824,,Microsyops latidens,45483,,,1730,,,,,,,,,
7825,,Microsyops latidens,45483,,,1730,,,,,,,,,
7826,,Microsyops latidens,45483,,,1730,,,,,,,,,
7827,,Microsyops latidens,45483,,,1730,,,,,,,,,
7828,,Microsyops latidens,45483,,,1730,,,,,,,,,
7829,,Microsyops latidens,45483,,,1730,,,,,,,,,
7830,,Microsyops latidens,45483,,,1730,,,,,,,,,
7831,,Microsyops latidens,45483,,,1730,,,,,,,,,
7832,,Microsyops latidens,45483,,,1730,,,,,,,,,
7833,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
7834,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
7835,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
7836,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
7837,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
8072,,Nannodectes gazini,48972,61.7,56.8,1635,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
8073,,Nannodectes gazini,48972,61.7,56.8,1635,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
8074,,Nannodectes gazini,48972,61.7,56.8,1635,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
8075,,Nannodectes gazini,48972,61.7,56.8,1635,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
8076,,Nannodectes gazini,48972,61.7,56.8,1635,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
8077,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
8078,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
8079,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
8080,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
8081,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
8082,,Nannodectes gidleyi,49222,61.7,56.8,1635,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8083,,Nannodectes gidleyi,49222,61.7,56.8,1635,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8084,,Nannodectes gidleyi,49222,61.7,56.8,1635,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8085,,Nannodectes gidleyi,49222,61.7,56.8,1635,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8086,,Nannodectes gidleyi,49222,61.7,56.8,1635,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8087,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
8088,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
8089,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
8090,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
8091,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
8092,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
8093,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
8094,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
8095,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
8096,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
8097,,Nannodectes simpsoni,50865,61.7,56.8,1635,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
8098,,Nannodectes simpsoni,50865,61.7,56.8,1635,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
8099,,Nannodectes simpsoni,50865,61.7,56.8,1635,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
8100,,Nannodectes simpsoni,50865,61.7,56.8,1635,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
8101,,Nannodectes simpsoni,50865,61.7,56.8,1635,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
8115,holotype,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8116,holotype,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8117,holotype,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8118,holotype,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8119,holotype,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8120,,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8121,,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8122,,Navajovius kohlhaasae,49006,61.7,56.8,1730,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
8241,holotype,Notharctus robinsoni,49198,,,1737,,,,,,,,,
8242,holotype,Notharctus robinsoni,49198,,,1737,,,,,,,,,
8243,holotype,Notharctus robinsoni,49198,,,1737,,,,,,,,,
8244,holotype,Notharctus robinsoni,49198,,,1737,,,,,,,,,
8245,holotype,Notharctus robinsoni,49198,,,1737,,,,,,,,,
8246,,Notharctus tenebrosus,49200,,,1733,,,,,,,,,
8247,,Notharctus tenebrosus,49200,,,1733,,,,,,,,,
8248,,Notharctus tenebrosus,49200,,,1733,,,,,,,,,
8249,,Notharctus tenebrosus,49200,,,1733,,,,,,,,,
8250,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8251,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8252,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8253,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8254,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8255,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8256,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8257,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8258,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8259,,Notharctus venticolus,49204,,,7526,,,,,,,,,
8319,,Omomys carteri,49314,,,3596,,,,,,,,,
8320,,Omomys carteri,49314,,,3596,,,,,,,,,
8321,,Omomys carteri,49314,,,3596,,,,,,,,,
8322,,Omomys carteri,49314,,,3605,,,,,,,,,
8323,,Omomys carteri,49314,,,3605,,,,,,,,,
8324,,Omomys carteri,49314,,,3605,,,,,,,,,
8325,,Omomys carteri,49314,50.3,46.2,3806,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
8326,,Omomys carteri,49314,50.3,46.2,3806,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
8327,,Omomys carteri,49314,50.3,46.2,3806,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
8328,,Omomys carteri,49314,50.3,46.2,3806,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
8426,,Ourayia uintensis,48562,46.2,40.4,3125,-109.283333,40.066666,US,Utah,Uintah,based on nearby landmark,minutes,,currently called Kennedy Wash according to Prothero 1996 (basis of coordinate)
8427,,Ourayia uintensis,48562,46.2,40.4,3125,-109.283333,40.066666,US,Utah,Uintah,based on nearby landmark,minutes,,currently called Kennedy Wash according to Prothero 1996 (basis of coordinate)
8428,,Ourayia uintensis,48562,46.2,40.4,3125,-109.283333,40.066666,US,Utah,Uintah,based on nearby landmark,minutes,,currently called Kennedy Wash according to Prothero 1996 (basis of coordinate)
8530,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
8531,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
8532,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
8533,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
8534,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
8535,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
8536,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
8537,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
8538,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
8539,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
8899,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
8900,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
8901,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
8902,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
8903,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
8904,,Pelycodus jarrovii,51107,55.8,50.3,1670,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,,San Juan Basin
8905,,Pelycodus jarrovii,51107,55.8,50.3,1670,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,,San Juan Basin
8906,,Pelycodus jarrovii,51107,55.8,50.3,1670,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,,San Juan Basin
8907,,Pelycodus jarrovii,51107,55.8,50.3,1670,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,,San Juan Basin
8908,,Pelycodus jarrovii,51107,55.8,50.3,1670,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,,San Juan Basin
8909,,Pelycodus jarrovii,51107,,,1733,,,,,,,,,
8910,,Pelycodus jarrovii,51107,,,1733,,,,,,,,,
8911,,Pelycodus jarrovii,51107,,,1733,,,,,,,,,
8912,,Pelycodus jarrovii,51107,,,1733,,,,,,,,,
8913,,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
8914,,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
8915,,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
8916,,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
8917,,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
8918,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
8919,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
8920,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
8921,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
8922,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
9201,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9202,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9203,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9204,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9205,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9206,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
9207,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
9208,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
9209,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
9210,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
9211,holotype,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
9212,holotype,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
9213,holotype,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
9214,holotype,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
9215,holotype,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
9294,,Plesiadapis churchilli,50430,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9295,,Plesiadapis churchilli,50430,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9296,,Plesiadapis churchilli,50430,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9297,,Plesiadapis churchilli,50430,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9298,,Plesiadapis churchilli,50430,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
9299,,Plesiadapis churchilli,50430,61.7,56.8,1635,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
9300,,Plesiadapis churchilli,50430,61.7,56.8,1635,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
9301,,Plesiadapis churchilli,50430,61.7,56.8,1635,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
9302,,Plesiadapis churchilli,50430,61.7,56.8,1635,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
9303,,Plesiadapis churchilli,50430,61.7,56.8,1635,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
9304,,Plesiadapis churchilli,50430,61.7,56.8,2156,-102.748001,49.063999,CA,Saskatchewan,,stated in text,3,small collection,"NW 1/4, Sec. 28, Tp. 1, R 6, W 2 (in Gao & Fox 1998)"
