specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
714,,Copelemur praetutus,50087,,,7526,,,,,,,,,
715,holotype,Copelemur tutus,52400,,,1675,,,,,,,,,
716,,Copelemur tutus,52400,,,1036,,,,,,,,,
769,,Craseops sylvestris,45345,46.2,40.4,1730,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,"""In a small exposure of red beds in a large canyon on the east side of the first canyon west of Tapo Canyon or 2.9 miles N. 39.5º E. of Santa Susana Bench Mark 961"" (Brattstrom 1955)"
1046,,Dyseolemur pacificus,45954,,,3353,,,,,,,,,
1047,,Dyseolemur pacificus,45954,,,2233,,,,,,,,,
1048,,Dyseolemur pacificus,45954,46.2,40.4,2836,-117.300003,33.220001,US,California,San Diego,based on political unit,2,small collection,Oceanside
1095,,Ekgmowechashala philotau,46013,,,3353,,,,,,,,,
1101,,Elphidotarsius florencae,46063,,,3144,,,,,,,,,
1102,,Elphidotarsius florencae,46063,,,8850,,,,,,,,,
1103,,Elphidotarsius russelli,46064,61.7,56.8,3871,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
1104,,Elphidotarsius russelli,46064,61.7,56.8,3871,-109.900002,46.200001,US,Montana,Wheatland,based on political unit,1,small collection,Crazy Mountains Basin
1105,,Elphidotarsius russelli,46064,61.7,56.8,3871,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountains Basin
1106,,Elphidotarsius russelli,46064,61.7,56.8,3871,-114.433334,51.183334,CA,Alberta,,stated in text,minutes,outcrop,"0.5 km E of Cochrane, Bow River in SE 1/4 sec 1 T26 R4 W5\n""fossils occur intermittently along about 30 m of strike"" (Fox 2011)"
1107,,Elphidotarsius shotgunensis,46065,,,1622,,,,,,,,,
1108,holotype,Elphidotarsius wightoni,46066,,,1530,,,,,,,,,
1112,holotype,Elwynella oreas,46071,50.3,46.2,2963,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
1113,,Elwynella oreas,46071,50.3,46.2,2963,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
1387,,Microsyops speirianus,47187,,,1662,,,,,,,,,
1388,,Microsyops speirianus,47187,,,1333,,,,,,,,,
1389,,Microsyops speirianus,47187,55.8,50.3,2929,-106.599998,44,US,Wyoming,Johnson,based on political unit,1,small collection,"Powder River, Powder River Basin"
1390,,Microsyops speirianus,47187,55.8,50.3,2929,-106.599998,44,US,Wyoming,Johnson,based on political unit,1,small collection,Powder River Basin
1411,holotype,Hemiacodon casamissus,46846,,,8850,,,,,,,,,
1412,,Hemiacodon gracilis,46847,,,1613,,,,,,,,,
1413,,Hemiacodon gracilis,46847,,,1613,,,,,,,,,
1414,,Hemiacodon gracilis,46847,,,1732,,,,,,,,,
1628,,Ignacius fremontensis,50325,,,8850,,,,,,,,,
1629,,Ignacius frugivorus,47353,61.7,56.8,2156,-102.748001,49.063999,CA,Saskatchewan,,stated in text,3,small collection,"NW 1/4, Sec. 28, Tp. 1, R 6, W 2 (in Gao & Fox 1998)"
