accepted_name,max_ma,min_ma,lng,lat,state,county
Plesiolestes_problematicus,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont
Torrejonia_sirokyi,61.7,56.8,-108.1754,42.2869,Wyoming,Fremont
Premnoides_douglassi,63.3,61.7,-109,44.299999,Wyoming,Park
Pronothodectes_gaoi,61.7,56.8,-113.76667,52.349998,Alberta,NA
Pronothodectes_jepi,63.3,61.7,-109,44.299999,Wyoming,Park
Pronothodectes_matthewi,63.3,61.7,-109.800003,45.799999,Montana,Sweetgrass
Purgatorius_unio,66,63.3,-106.099998,47.799999,Montana,McCone
Shoshonius_bowni,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs
Shoshonius_cooperi,50.3,46.2,-107.333336,43.200001,Wyoming,Natrona
Smilodectes_gracilis,50.3,46.2,-110.5,41.200001,Wyoming,Uinta
Smilodectes_mcgrewi,50.3,46.2,-110.325279,41.769169,Wyoming,Lincoln
Smilodectes_mcgrewi,50.3,46.2,-105.099998,37.799999,Colorado,Huerfano
Smilodectes_sororis,50.3,46.2,-108.912781,42.369999,Wyoming,Fremont
Sphacorhysis_burntforkensis,50.3,46.2,-110.5,41.200001,Wyoming,Uinta
Tarka_stylifera,46.2,40.4,-108.199997,43.200001,Wyoming,Fremont
Teilhardina_demissa,55.8,50.3,-108,44.5,Wyoming,Big Horn
Tinimomys_graybulliensis,55.8,50.3,-108,44,Wyoming,Washakie
Torrejonia_sirokyi,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont
Trogolemur_myodes,50.3,46.2,-109,41.700001,Wyoming,Sweetwater
Trogolemur_myodes,50.3,46.2,-114.099998,39,Nevada,White Pine
Uintanius_ameghini,50.3,46.2,-110.5,41.200001,Wyoming,Uinta
Uintanius_rutherfurdi,50.3,46.2,-110.699997,41.799999,Wyoming,Lincoln
Uintasorex_parvulus,50.3,46.2,-109.349998,42.416668,Wyoming,Sublette
Uintasorex_parvulus,50.3,46.2,-109.900002,40.200001,Utah,Uintah
Utahia_kayi,50.3,46.2,-109.900002,40.200001,Utah,Uintah
Washakius_insignis,50.3,46.2,-109.349998,42.416668,Wyoming,Sublette
Washakius_izetti,50.3,46.2,-105.099998,37.799999,Colorado,Huerfano
Washakius_izetti,50.3,46.2,-108.912781,42.369999,Wyoming,Fremont
Washakius_insignis,50.3,46.2,-109,44.299999,Wyoming,Park
Yaquius_travisi,46.2,40.4,-119,34.299999,California,Ventura
Cantius_frugivorus,55.8,50.3,-107,35.700001,New Mexico,Sandoval
Carpolestes_simpsoni,56.8,55.8,-109,44.299999,Wyoming,Park
Cantius_frugivorus,55.8,50.3,-108.199997,43.200001,Wyoming,Fremont
Cantius_actius,46.2,40.4,-117.099998,32.900002,California,San Diego
Ignacius_graybullianus,55.8,50.3,-109,44.299999,Wyoming,Park
Mahgarita_stevensi,40.4,37.2,-103.199997,29.200001,Texas,Brewster
Navajovius_kohlhaasae,61.7,56.8,-107.633331,37.116669,Colorado,La Plata
Omomys_carteri,50.3,46.2,-110.699997,41.799999,Wyoming,Lincoln
Ourayia_uintensis,46.2,40.4,-109.283333,40.066666,Utah,Uintah
Pelycodus_jarrovii,55.8,50.3,-107,36.5,New Mexico,Rio Arriba
Plesiadapis_fodinatus,61.7,56.8,-109,41.700001,Wyoming,Sweetwater
Strigorhysis_bridgerensis,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs
Picrodus_canpacius,61.7,56.8,-114.433334,51.183334,Alberta,NA
Picrodus_canpacius,61.7,56.8,-106.466667,41.916668,Wyoming,Carbon
Picrodus_lepidus,61.7,56.8,-113.76667,52.349998,Alberta,NA
Picrodus,61.7,56.8,-110.699997,41.799999,Wyoming,Lincoln
Picrodus,61.7,56.8,-113.599998,52.200001,Alberta,NA
Picrodus,61.7,56.8,-112.300003,51.5,Alberta,NA
Teilhardina_brandti,55.8,50.3,-109,44.299999,Wyoming,Park
Torrejonia_sirokyi,61.7,56.8,-110.683334,41.583332,Wyoming,Lincoln
Nannodectes_intermedius,61.7,56.8,-110.683334,41.583332,Wyoming,Lincoln
Tatmanius_szalayi,55.8,50.3,-108.416664,44.233334,Wyoming,Big Horn
Steinius_annectens,55.8,50.3,-108.466667,44.183334,Wyoming,Big Horn
Arapahovius_gazini,55.8,50.3,-109,41.700001,Wyoming,Sweetwater
Diablomomys_dalquesti,46.2,40.4,-104.199997,29.9,Texas,Presidio
Omomys_carteri,46.2,40.4,-104.199997,29.9,Texas,Presidio
Ourayia_hopsoni,46.2,40.4,-104.199997,29.9,Texas,Presidio
Ourayia_uintensis,46.2,40.4,-103.199997,29.200001,Texas,Brewster
Hemiacodon_engardae,46.2,40.4,-110.099998,41.083332,Wyoming,Uinta
Edworthia_lerbekmoi,63.3,61.7,-114.150002,51.049999,Alberta,NA
Nannodectes_simpsoni,61.7,56.8,-108.300003,40.283333,Colorado,NA
Phoxomylus_puncticuspis,61.7,56.8,-114.433334,51.183334,Alberta,NA
Mescalerolemur_horneri,46.2,40.4,-104.199997,29.9,Texas,Presidio
Loveina_sheai,55.8,50.3,-110.116669,42.983334,Wyoming,Sublette
Loveina_sheai,55.8,50.3,-110.099998,42.700001,Wyoming,Sublette
Loveina_wapitiensis,55.8,50.3,-110.116669,42.983334,Wyoming,Sublette
Cebupithecia_sarmientoi,13.8,11.8,-75.1875,3.258333,Huila,NA
Solimoea_acrensis,11.608,5.333,-69.922218,-10.931944,Acre,NA
Acrecebus_fraileyi,11.62,7.246,-66.87944,-10.116389,Acre,NA
Acrecebus_fraileyi,9,6.8,-69.833336,-10.833333,Pando,"Cachuela Bandeira, Rio Acre"
Alouatta_mauroi,0.126,0,-41.519722,-10.976111,Bahia,Morro do Chapeu
Stirtonia,9,6.8,-69.833336,-10.833333,Pando,"Cachuela Bandeira, Rio Acre"
Stirtonia_tatacoensis,13.8,11.8,-75.199997,3.2,Huila,NA
Micodon_kiotensis,13.8,11.8,-75.199997,3.2,Huila,NA
Stirtonia_victoriae,13.8,11.8,-75.916664,2.116667,Huila,NA
Lagonimico_conclucatus,13.8,11.8,-74.577782,3.660278,Huila,NA
Nuciruptor_rubricae,13.8,11.8,-75.133331,3.316667,Huila,NA
Saimiri,17.5,16.3,-71.366669,-12.866667,Cusco,NA
Patasola_magdalenae,13.8,11.8,-75.133331,3.3,NA,NA
Neosaimiri_fieldsi,13.8,11.8,-75.1875,3.258333,Huila,NA
Nuciruptor,13.8,11.8,-75.133331,3.3,NA,NA
Neosaimiri_annectens,13.8,11.8,-75.183334,3.233333,NA,NA
Miocallicebus_villaviejai,13.8,11.8,-75.194443,3.281389,Huila,NA
